episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_S08_r0_1786183030,S08,0,127.269,0.3050,0.2421,0.0629,DODGE_SAVED,0.0118,12,286
2,ball_S08_r1_1786183045,S08,1,141.461,0.5396,0.4036,0.1360,WOULD_HAVE_MISSED,0.0126,12,288
3,ball_S08_r2_1786183059,S08,2,155.747,0.4815,0.3671,0.1145,WOULD_HAVE_MISSED,0.0103,12,284
4,ball_S08_r3_1786183073,S08,3,169.591,0.3349,0.2746,0.0603,DODGE_SAVED,0.0108,12,279
5,ball_S08_r4_1786183088,S08,4,183.750,0.6009,0.5427,0.0582,WOULD_HAVE_MISSED,0.0078,12,274
6,ball_S08_r5_1786183102,S08,5,196.977,0.5719,0.4264,0.1455,WOULD_HAVE_MISSED,0.0153,12,287
7,ball_S08_r6_1786183115,S08,6,210.036,0.2877,0.1875,0.1002,DODGE_FAILED,0.0221,12,303
8,ball_S08_r7_1786183130,S08,7,224.503,0.3706,0.2305,0.1401,DODGE_SAVED,0.0549,13,320
9,ball_S08_r8_1786183145,S08,8,238.736,0.3236,0.2258,0.0978,DODGE_SAVED,0.0209,14,302
10,ball_S08_r9_1786183161,S08,9,253.387,0.3639,0.3034,0.0604,WOULD_HAVE_MISSED,0.0158,13,287
11,ball_S08_r10_1786183176,S08,10,267.107,0.3246,0.2645,0.0601,DODGE_SAVED,0.0108,12,295
12,ball_S08_r11_1786183191,S08,11,281.215,0.2501,0.1997,0.0503,DODGE_FAILED,0.0082,12,290
