dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,0.0302,0.0750,0.060,0.413
1,0.10,0.0523,0.1500,0.060,0.413
1,0.15,0.0769,0.2250,0.060,0.413
1,0.20,0.1153,0.3000,0.060,0.413
1,0.30,0.2069,0.4500,0.060,0.413
1,0.40,0.3247,0.6000,0.060,0.413
1,0.60,0.6490,0.9000,0.060,0.413
1,1.00,1.6324,1.5000,0.060,0.413
2,0.05,0.0088,0.0750,0.050,0.415
2,0.10,0.0145,0.1500,0.050,0.415
2,0.15,0.0266,0.2250,0.050,0.415
2,0.20,0.0389,0.3000,0.050,0.415
2,0.30,0.0743,0.4500,0.050,0.415
2,0.40,0.1287,0.6000,0.050,0.415
2,0.60,0.2960,0.9000,0.050,0.415
2,1.00,0.9644,1.5000,0.050,0.415
3,0.05,-0.0015,0.0750,0.080,0.051
3,0.10,-0.0029,0.1500,0.080,0.051
3,0.15,-0.0047,0.2250,0.080,0.051
3,0.20,-0.0066,0.3000,0.080,0.051
3,0.30,-0.0093,0.4500,0.080,0.051
3,0.40,-0.0077,0.6000,0.080,0.051
3,0.60,0.0366,0.9000,0.080,0.051
3,1.00,0.4030,1.5000,0.080,0.051
4,0.05,0.0127,0.0750,0.100,0.367
4,0.10,0.0243,0.1500,0.100,0.367
4,0.15,0.0428,0.2250,0.100,0.367
4,0.20,0.0620,0.3000,0.100,0.367
4,0.30,0.1155,0.4500,0.100,0.367
4,0.40,0.1853,0.6000,0.100,0.367
4,0.60,0.3778,0.9000,0.100,0.367
4,1.00,1.0901,1.5000,0.100,0.367
5,0.05,0.0177,0.0750,0.090,0.337
5,0.10,0.0314,0.1500,0.090,0.337
5,0.15,0.0539,0.2250,0.090,0.337
5,0.20,0.0724,0.3000,0.090,0.337
5,0.30,0.1348,0.4500,0.090,0.337
5,0.40,0.2274,0.6000,0.090,0.337
5,0.60,0.4522,0.9000,0.090,0.337
5,1.00,1.1932,1.5000,0.090,0.337
6,0.05,-0.0098,0.0750,0.090,0.181
6,0.10,-0.0204,0.1500,0.090,0.181
6,0.15,-0.0310,0.2250,0.090,0.181
6,0.20,-0.0439,0.3000,0.090,0.181
6,0.30,-0.0767,0.4500,0.090,0.181
6,0.40,-0.1066,0.6000,0.090,0.181
6,0.60,-0.1398,0.9000,0.090,0.181
6,1.00,0.0740,1.5000,0.090,0.181
7,0.05,0.0003,0.0750,0.120,0.348
7,0.10,0.0009,0.1500,0.120,0.348
7,0.15,0.0011,0.2250,0.120,0.348
7,0.20,0.0020,0.3000,0.120,0.348
7,0.30,0.0068,0.4500,0.120,0.348
7,0.40,0.0184,0.6000,0.120,0.348
7,0.60,0.0903,0.9000,0.120,0.348
7,1.00,0.5378,1.5000,0.120,0.348
