dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,0.0037,0.0750,0.400,0.248
1,0.10,0.0041,0.1500,0.400,0.248
1,0.15,-0.0001,0.2250,0.400,0.248
1,0.20,0.0159,0.3000,0.400,0.248
1,0.30,-0.0074,0.4500,0.400,0.248
1,0.40,-0.0087,0.6000,0.400,0.248
1,0.60,-0.0606,0.9000,0.400,0.248
1,1.00,-0.2972,1.5000,0.400,0.248
2,0.05,0.0155,0.0750,0.190,0.365
2,0.10,0.0264,0.1500,0.190,0.365
2,0.15,0.0456,0.2250,0.190,0.365
2,0.20,0.0707,0.3000,0.190,0.365
2,0.30,0.1105,0.4500,0.190,0.365
2,0.40,0.1653,0.6000,0.190,0.365
2,0.60,0.3209,0.9000,0.190,0.365
2,1.00,0.7296,1.5000,0.190,0.365
3,0.05,-0.0027,0.0750,0.390,0.407
3,0.10,-0.0037,0.1500,0.390,0.407
3,0.15,-0.0045,0.2250,0.390,0.407
3,0.20,-0.0107,0.3000,0.390,0.407
3,0.30,-0.0184,0.4500,0.390,0.407
3,0.40,-0.0277,0.6000,0.390,0.407
3,0.60,-0.0555,0.9000,0.390,0.407
3,1.00,-0.1484,1.5000,0.390,0.407
4,0.05,0.0241,0.0750,0.140,0.509
4,0.10,0.0361,0.1500,0.140,0.509
4,0.15,0.0568,0.2250,0.140,0.509
4,0.20,0.0703,0.3000,0.140,0.509
4,0.30,0.1160,0.4500,0.140,0.509
4,0.40,0.1806,0.6000,0.140,0.509
4,0.60,0.3450,0.9000,0.140,0.509
4,1.00,0.7839,1.5000,0.140,0.509
5,0.05,0.0138,0.0750,0.110,0.316
5,0.10,0.0241,0.1500,0.110,0.316
5,0.15,0.0316,0.2250,0.110,0.316
5,0.20,0.0412,0.3000,0.110,0.316
5,0.30,0.0783,0.4500,0.110,0.316
5,0.40,0.1120,0.6000,0.110,0.316
5,0.60,0.2063,0.9000,0.110,0.316
5,1.00,0.4561,1.5000,0.110,0.316
6,0.05,0.0123,0.0750,0.180,0.546
6,0.10,0.0338,0.1500,0.180,0.546
6,0.15,0.0506,0.2250,0.180,0.546
6,0.20,0.0620,0.3000,0.180,0.546
6,0.30,0.1084,0.4500,0.180,0.546
6,0.40,0.1654,0.6000,0.180,0.546
6,0.60,0.2915,0.9000,0.180,0.546
6,1.00,0.6683,1.5000,0.180,0.546
