dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,-0.0128,0.0750,0.280,0.248
1,0.10,-0.0269,0.1500,0.280,0.248
1,0.15,-0.0466,0.2250,0.280,0.248
1,0.20,-0.0729,0.3000,0.280,0.248
1,0.30,-0.1356,0.4500,0.280,0.248
1,0.40,-0.2118,0.6000,0.280,0.248
1,0.60,-0.3462,0.9000,0.280,0.248
1,1.00,-0.3837,1.5000,0.280,0.248
2,0.05,0.0105,0.0750,0.090,0.571
2,0.10,0.0220,0.1500,0.090,0.571
2,0.15,0.0374,0.2250,0.090,0.571
2,0.20,0.0580,0.3000,0.090,0.571
2,0.30,0.1098,0.4500,0.090,0.571
2,0.40,0.1679,0.6000,0.090,0.571
2,0.60,0.2861,0.9000,0.090,0.571
2,1.00,0.5011,1.5000,0.090,0.571
3,0.05,0.0089,0.0750,0.060,0.483
3,0.10,0.0204,0.1500,0.060,0.483
3,0.15,0.0330,0.2250,0.060,0.483
3,0.20,0.0493,0.3000,0.060,0.483
3,0.30,0.0912,0.4500,0.060,0.483
3,0.40,0.1415,0.6000,0.060,0.483
3,0.60,0.2426,0.9000,0.060,0.483
3,1.00,0.4713,1.5000,0.060,0.483
4,0.05,0.0111,0.0750,0.080,0.383
4,0.10,0.0225,0.1500,0.080,0.383
4,0.15,0.0337,0.2250,0.080,0.383
4,0.20,0.0521,0.3000,0.080,0.383
4,0.30,0.0938,0.4500,0.080,0.383
4,0.40,0.1457,0.6000,0.080,0.383
4,0.60,0.2450,0.9000,0.080,0.383
4,1.00,0.4364,1.5000,0.080,0.383
5,0.05,0.0061,0.0750,0.080,0.394
5,0.10,0.0173,0.1500,0.080,0.394
5,0.15,0.0297,0.2250,0.080,0.394
5,0.20,0.0457,0.3000,0.080,0.394
5,0.30,0.0872,0.4500,0.080,0.394
5,0.40,0.1354,0.6000,0.080,0.394
5,0.60,0.2363,0.9000,0.080,0.394
5,1.00,0.4026,1.5000,0.080,0.394
6,0.05,-0.0062,0.0750,0.070,0.288
6,0.10,-0.0119,0.1500,0.070,0.288
6,0.15,-0.0194,0.2250,0.070,0.288
6,0.20,-0.0280,0.3000,0.070,0.288
6,0.30,-0.0426,0.4500,0.070,0.288
6,0.40,-0.0531,0.6000,0.070,0.288
6,0.60,-0.0302,0.9000,0.070,0.288
6,1.00,0.2885,1.5000,0.070,0.288
7,0.05,0.0116,0.0750,0.000,0.508
7,0.10,0.0235,0.1500,0.000,0.508
7,0.15,0.0376,0.2250,0.000,0.508
7,0.20,0.0564,0.3000,0.000,0.508
7,0.30,0.1081,0.4500,0.000,0.508
7,0.40,0.1773,0.6000,0.000,0.508
7,0.60,0.3576,0.9000,0.000,0.508
7,1.00,0.7611,1.5000,0.000,0.508
8,0.05,0.0070,0.0750,0.090,0.401
8,0.10,0.0133,0.1500,0.090,0.401
8,0.15,0.0224,0.2250,0.090,0.401
8,0.20,0.0317,0.3000,0.090,0.401
8,0.30,0.0583,0.4500,0.090,0.401
8,0.40,0.0868,0.6000,0.090,0.401
8,0.60,0.1559,0.9000,0.090,0.401
8,1.00,0.4727,1.5000,0.090,0.401
