episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_D15_r0_1786252527,D15,0,141.907,0.1506,0.2961,-0.1456,DODGE_FAILED,0.0006,12,269
2,ball_D15_r1_1786252542,D15,1,156.088,0.3239,0.1072,0.2167,DODGE_SAVED,0.0011,12,269
3,ball_D15_r2_1786252557,D15,2,170.080,0.1779,0.1033,0.0746,DODGE_FAILED,0.0007,13,266
4,ball_D15_r3_1786252571,D15,3,184.065,0.3934,0.1065,0.2870,DODGE_SAVED,0.0008,12,274
5,ball_D15_r4_1786252586,D15,4,197.979,0.3306,0.1529,0.1777,DODGE_SAVED,0.0013,12,271
6,ball_D15_r5_1786252601,D15,5,212.091,0.2163,0.1465,0.0698,DODGE_FAILED,0.0011,12,272
7,ball_D15_r6_1786252615,D15,6,226.013,0.3706,0.0970,0.2736,DODGE_SAVED,0.0009,12,277
8,ball_D15_r7_1786252630,D15,7,240.029,0.2352,0.1506,0.0846,DODGE_FAILED,0.0009,13,274
9,ball_D15_r8_1786252645,D15,8,253.916,0.4731,0.1285,0.3446,DODGE_SAVED,0.0013,12,276
10,ball_D15_r9_1786252659,D15,9,268.031,0.6293,0.2594,0.3699,DODGE_SAVED,0.0012,12,273
