dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,0.0021,0.0750,0.970,0.611
1,0.10,0.0041,0.1500,0.970,0.611
1,0.15,0.0065,0.2250,0.970,0.611
1,0.20,0.0095,0.3000,0.970,0.611
1,0.30,0.0199,0.4500,0.970,0.611
1,0.40,0.0383,0.6000,0.970,0.611
1,0.60,0.1132,0.9000,0.970,0.611
1,1.00,0.5385,1.5000,0.970,0.611
2,0.05,0.0033,0.0750,1.100,0.499
2,0.10,0.0056,0.1500,1.100,0.499
2,0.15,0.0092,0.2250,1.100,0.499
2,0.20,0.0136,0.3000,1.100,0.499
2,0.30,0.0282,0.4500,1.100,0.499
2,0.40,0.0513,0.6000,1.100,0.499
2,0.60,0.1462,0.9000,1.100,0.499
2,1.00,0.6315,1.5000,1.100,0.499
3,0.05,0.0008,0.0750,0.920,0.157
3,0.10,0.0016,0.1500,0.920,0.157
3,0.15,0.0027,0.2250,0.920,0.157
3,0.20,0.0042,0.3000,0.920,0.157
3,0.30,0.0103,0.4500,0.920,0.157
3,0.40,0.0229,0.6000,0.920,0.157
3,0.60,0.0885,0.9000,0.920,0.157
3,1.00,0.4914,1.5000,0.920,0.157
4,0.05,0.0013,0.0750,0.770,0.355
4,0.10,0.0022,0.1500,0.770,0.355
4,0.15,0.0036,0.2250,0.770,0.355
4,0.20,0.0058,0.3000,0.770,0.355
4,0.30,0.0132,0.4500,0.770,0.355
4,0.40,0.0285,0.6000,0.770,0.355
4,0.60,0.0977,0.9000,0.770,0.355
4,1.00,0.5163,1.5000,0.770,0.355
5,0.05,-0.0014,0.0750,0.810,0.470
5,0.10,-0.0025,0.1500,0.810,0.470
5,0.15,-0.0031,0.2250,0.810,0.470
5,0.20,-0.0028,0.3000,0.810,0.470
5,0.30,0.0031,0.4500,0.810,0.470
5,0.40,0.0185,0.6000,0.810,0.470
5,0.60,0.0958,0.9000,0.810,0.470
5,1.00,0.5293,1.5000,0.810,0.470
6,0.05,0.0001,0.0750,0.850,0.552
6,0.10,0.0002,0.1500,0.850,0.552
6,0.15,0.0004,0.2250,0.850,0.552
6,0.20,0.0010,0.3000,0.850,0.552
6,0.30,0.0054,0.4500,0.850,0.552
6,0.40,0.0171,0.6000,0.850,0.552
6,0.60,0.0842,0.9000,0.850,0.552
6,1.00,0.5025,1.5000,0.850,0.552
7,0.05,0.0003,0.0750,0.710,0.567
7,0.10,0.0007,0.1500,0.710,0.567
7,0.15,0.0010,0.2250,0.710,0.567
7,0.20,0.0018,0.3000,0.710,0.567
7,0.30,0.0061,0.4500,0.710,0.567
7,0.40,0.0150,0.6000,0.710,0.567
7,0.60,0.0702,0.9000,0.710,0.567
7,1.00,0.4702,1.5000,0.710,0.567
8,0.05,0.0001,0.0750,0.820,0.075
8,0.10,0.0002,0.1500,0.820,0.075
8,0.15,0.0005,0.2250,0.820,0.075
8,0.20,0.0014,0.3000,0.820,0.075
8,0.30,0.0067,0.4500,0.820,0.075
8,0.40,0.0200,0.6000,0.820,0.075
8,0.60,0.0864,0.9000,0.820,0.075
8,1.00,0.5081,1.5000,0.820,0.075
9,0.05,-0.0003,0.0750,0.850,0.226
9,0.10,-0.0005,0.1500,0.850,0.226
9,0.15,-0.0009,0.2250,0.850,0.226
9,0.20,-0.0008,0.3000,0.850,0.226
9,0.30,0.0024,0.4500,0.850,0.226
9,0.40,0.0148,0.6000,0.850,0.226
9,0.60,0.0884,0.9000,0.850,0.226
9,1.00,0.5583,1.5000,0.850,0.226
10,0.05,-0.0001,0.0750,0.840,0.740
10,0.10,0.0000,0.1500,0.840,0.740
10,0.15,-0.0003,0.2250,0.840,0.740
10,0.20,-0.0002,0.3000,0.840,0.740
10,0.30,0.0014,0.4500,0.840,0.740
10,0.40,0.0098,0.6000,0.840,0.740
10,0.60,0.0579,0.9000,0.840,0.740
10,1.00,0.4368,1.5000,0.840,0.740
