episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_S08_r0_1786092610,S08,0,121.780,0.3241,0.3061,0.0181,WOULD_HAVE_MISSED,0.0094,12,269
2,ball_S08_r1_1786092625,S08,1,136.017,0.2903,0.2582,0.0322,DODGE_FAILED,0.0125,12,272
3,ball_S08_r2_1786092640,S08,2,150.605,0.5803,0.5730,0.0072,WOULD_HAVE_MISSED,0.0114,12,263
4,ball_S14_r0_1786092654,S14,0,,0.2185,,,NO_DODGE,,0,313
5,ball_S14_r1_1786092668,S14,1,177.596,0.2096,0.1998,0.0098,DODGE_FAILED,0.0116,12,268
6,ball_S14_r2_1786092682,S14,2,191.776,0.2643,0.2695,-0.0052,DODGE_FAILED,0.0143,12,267
7,ball_S20_r0_1786092697,S20,0,,0.2477,,,NO_DODGE,,0,317
8,ball_S20_r1_1786092710,S20,1,,0.1694,,,NO_DODGE,,0,313
9,ball_S20_r2_1786092737,S20,2,,0.2164,,,NO_DODGE,,0,311
10,ball_S20N_r0_1786092750,S20N,0,,1.3201,,,NO_DODGE,,0,311
11,ball_S20N_r1_1786092763,S20N,1,,1.3183,,,NO_DODGE,,0,312
