combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,H14,0,True,True,19.0,0.134,0.0,0.134,False,True,False,False,dodged but min_dist 0.13 <= hit_radius,False,0.0,1.586,0.297,-0.084,0.073,-0.073,0.062,-0.039,-0.103,13.705,1.286,1.282,0.49,0.329,11.914,5,0.323,1
baseline,H14,1,True,True,21.0,0.178,0.0,0.178,False,True,False,False,dodged but min_dist 0.18 <= hit_radius,False,0.0,1.586,0.303,-0.073,-0.018,0.162,0.02,-0.104,0.088,14.149,1.286,1.272,0.73,0.679,11.994,3,0.153,1
baseline,H14,2,True,True,19.0,0.106,0.0,0.106,False,True,False,False,dodged but min_dist 0.11 <= hit_radius,False,0.0,1.586,0.289,0.016,0.077,-0.071,0.067,-0.054,-0.076,13.926,1.286,1.285,0.43,0.439,11.772,6,0.407,1
baseline,H14,3,True,True,21.0,0.163,0.0,0.163,False,True,False,False,dodged but min_dist 0.16 <= hit_radius,False,0.0,1.586,0.308,0.038,0.114,0.11,0.033,-0.141,0.093,14.0,1.286,1.282,0.72,0.661,11.932,3,0.164,1
baseline,H14,4,True,True,18.0,0.267,0.0,0.267,False,True,False,False,dodged but min_dist 0.27 <= hit_radius,False,0.0,1.586,0.243,0.113,0.103,0.219,0.511,0.003,0.054,13.849,1.286,1.256,0.61,0.592,11.951,4,0.239,1
baseline,H14,5,True,True,18.0,0.159,0.0,0.159,False,True,False,False,dodged but min_dist 0.16 <= hit_radius,False,0.0,1.586,0.264,0.014,0.076,-0.138,0.083,0.005,-0.111,13.854,1.286,1.289,0.63,0.42,11.821,4,0.254,1
baseline,H14,6,True,True,18.0,0.106,0.0,0.106,False,True,False,False,dodged but min_dist 0.11 <= hit_radius,False,0.0,1.586,0.301,-0.089,0.05,-0.029,0.041,-0.029,-0.065,14.241,1.286,1.275,0.39,0.487,11.912,5,0.404,2
baseline,H14,7,True,True,20.0,0.151,0.0,0.151,False,True,False,False,dodged but min_dist 0.15 <= hit_radius,False,0.0,1.586,0.265,0.005,0.05,-0.142,0.096,-0.007,-0.096,14.232,1.286,1.289,0.47,0.561,11.998,5,0.336,1
baseline,H14,8,True,True,21.0,0.139,0.0,0.139,False,True,False,False,dodged but min_dist 0.14 <= hit_radius,False,0.0,1.586,0.291,-0.125,0.007,-0.059,0.007,-0.039,-0.126,14.225,1.286,1.272,0.62,0.598,11.887,4,0.237,1
baseline,H14,9,True,True,18.0,0.149,0.0,0.149,False,True,False,False,dodged but min_dist 0.15 <= hit_radius,False,0.0,1.586,0.313,-0.062,0.123,0.057,0.095,-0.078,0.039,13.777,1.286,1.281,0.59,0.479,11.973,4,0.25,1
