episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_H14_r0_1786250278,H14,0,134.392,0.1335,0.0991,0.0344,DODGE_FAILED,0.0008,12,268
2,ball_H14_r1_1786250293,H14,1,148.423,0.1783,0.1565,0.0218,DODGE_FAILED,0.0011,12,284
3,ball_H14_r2_1786250309,H14,2,163.911,0.1060,0.0749,0.0311,DODGE_FAILED,0.0007,13,269
4,ball_H14_r3_1786250324,H14,3,178.219,0.1629,0.1376,0.0253,DODGE_FAILED,0.0009,12,275
5,ball_H14_r4_1786250339,H14,4,192.902,0.2671,0.1551,0.1119,DODGE_FAILED,0.0011,12,274
6,ball_H14_r5_1786250355,H14,5,207.768,0.1586,0.1040,0.0547,DODGE_FAILED,0.0010,12,279
7,ball_H14_r6_1786250369,H14,6,221.919,0.1065,0.1083,-0.0018,DODGE_FAILED,0.0009,12,268
8,ball_H14_r7_1786250384,H14,7,236.119,0.1507,0.0989,0.0518,DODGE_FAILED,0.0009,12,268
9,ball_H14_r8_1786250399,H14,8,250.270,0.1388,0.1398,-0.0009,DODGE_FAILED,0.0010,12,273
10,ball_H14_r9_1786250415,H14,9,265.321,0.1487,0.1221,0.0266,DODGE_FAILED,0.0012,12,279
