dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,-0.0008,0.0750,0.490,0.329
1,0.10,-0.0012,0.1500,0.490,0.329
1,0.15,-0.0016,0.2250,0.490,0.329
1,0.20,-0.0015,0.3000,0.490,0.329
1,0.30,0.0042,0.4500,0.490,0.329
1,0.40,0.0199,0.6000,0.490,0.329
1,0.60,0.1033,0.9000,0.490,0.329
1,1.00,0.5238,1.5000,0.490,0.329
2,0.05,0.0008,0.0750,0.730,0.679
2,0.10,0.0017,0.1500,0.730,0.679
2,0.15,0.0029,0.2250,0.730,0.679
2,0.20,0.0047,0.3000,0.730,0.679
2,0.30,0.0122,0.4500,0.730,0.679
2,0.40,0.0281,0.6000,0.730,0.679
2,0.60,0.1012,0.9000,0.730,0.679
2,1.00,0.5330,1.5000,0.730,0.679
3,0.05,-0.0005,0.0750,0.430,0.439
3,0.10,-0.0011,0.1500,0.430,0.439
3,0.15,-0.0012,0.2250,0.430,0.439
3,0.20,-0.0003,0.3000,0.430,0.439
3,0.30,0.0078,0.4500,0.430,0.439
3,0.40,0.0251,0.6000,0.430,0.439
3,0.60,0.1110,0.9000,0.430,0.439
3,1.00,0.6186,1.5000,0.430,0.439
4,0.05,0.0034,0.0750,0.720,0.661
4,0.10,0.0064,0.1500,0.720,0.661
4,0.15,0.0103,0.2250,0.720,0.661
4,0.20,0.0151,0.3000,0.720,0.661
4,0.30,0.0310,0.4500,0.720,0.661
4,0.40,0.0511,0.6000,0.720,0.661
4,0.60,0.1525,0.9000,0.720,0.661
4,1.00,0.6438,1.5000,0.720,0.661
5,0.05,0.0016,0.0750,0.610,0.592
5,0.10,0.0029,0.1500,0.610,0.592
5,0.15,0.0046,0.2250,0.610,0.592
5,0.20,0.0068,0.3000,0.610,0.592
5,0.30,0.0155,0.4500,0.610,0.592
5,0.40,0.0312,0.6000,0.610,0.592
5,0.60,0.1010,0.9000,0.610,0.592
5,1.00,0.5314,1.5000,0.610,0.592
6,0.05,-0.0014,0.0750,0.630,0.420
6,0.10,-0.0027,0.1500,0.630,0.420
6,0.15,-0.0040,0.2250,0.630,0.420
6,0.20,-0.0053,0.3000,0.630,0.420
6,0.30,-0.0027,0.4500,0.630,0.420
6,0.40,0.0096,0.6000,0.630,0.420
6,0.60,0.0827,0.9000,0.630,0.420
6,1.00,0.4838,1.5000,0.630,0.420
7,0.05,-0.0010,0.0750,0.390,0.487
7,0.10,-0.0018,0.1500,0.390,0.487
7,0.15,-0.0026,0.2250,0.390,0.487
7,0.20,-0.0028,0.3000,0.390,0.487
7,0.30,0.0024,0.4500,0.390,0.487
7,0.40,0.0177,0.6000,0.390,0.487
7,0.60,0.0943,0.9000,0.390,0.487
7,1.00,0.4789,1.5000,0.390,0.487
8,0.05,-0.0011,0.0750,0.470,0.561
8,0.10,-0.0022,0.1500,0.470,0.561
8,0.15,-0.0029,0.2250,0.470,0.561
8,0.20,-0.0031,0.3000,0.470,0.561
8,0.30,0.0027,0.4500,0.470,0.561
8,0.40,0.0179,0.6000,0.470,0.561
8,0.60,0.0972,0.9000,0.470,0.561
8,1.00,0.4947,1.5000,0.470,0.561
9,0.05,-0.0014,0.0750,0.620,0.598
9,0.10,-0.0023,0.1500,0.620,0.598
9,0.15,-0.0034,0.2250,0.620,0.598
9,0.20,-0.0042,0.3000,0.620,0.598
9,0.30,-0.0019,0.4500,0.620,0.598
9,0.40,0.0094,0.6000,0.620,0.598
9,0.60,0.0802,0.9000,0.620,0.598
9,1.00,0.5555,1.5000,0.620,0.598
10,0.05,0.0019,0.0750,0.590,0.479
10,0.10,0.0035,0.1500,0.590,0.479
10,0.15,0.0057,0.2250,0.590,0.479
10,0.20,0.0082,0.3000,0.590,0.479
10,0.30,0.0171,0.4500,0.590,0.479
10,0.40,0.0328,0.6000,0.590,0.479
10,0.60,0.0984,0.9000,0.590,0.479
10,1.00,0.5272,1.5000,0.590,0.479
