combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,H14,0,True,True,19.0,0.13,0.0,0.13,False,True,False,False,dodged but min_dist 0.13 <= hit_radius,False,0.0,1.871,0.335,-0.054,0.116,-0.021,0.065,-0.133,-0.093,13.923,1.571,1.56,0.51,0.701,15.777,7,0.573,2
baseline,H14,1,True,True,19.0,0.206,0.0,0.206,False,True,False,False,dodged but min_dist 0.21 <= hit_radius,False,0.0,1.871,0.25,-0.072,-0.01,-0.192,0.019,0.035,-0.203,14.15,1.571,1.568,0.68,0.396,15.784,6,0.417,1
baseline,H14,2,True,True,20.0,0.141,0.0,0.141,False,True,False,False,dodged but min_dist 0.14 <= hit_radius,False,0.0,1.871,0.283,0.065,-0.069,0.104,-0.079,0.018,0.124,13.761,1.571,1.573,0.79,0.727,15.89,5,0.326,1
baseline,H14,3,True,True,18.0,0.279,0.0,0.279,False,True,False,False,dodged but min_dist 0.28 <= hit_radius,False,0.0,1.871,0.243,0.024,0.243,0.133,0.264,-0.05,0.092,14.0,1.571,1.565,0.76,0.443,15.902,5,0.32,1
baseline,H14,4,True,True,20.0,0.675,0.0,0.675,False,True,True,False,clean dodge,False,0.0,1.871,0.252,0.245,0.459,0.429,0.638,0.267,0.289,13.926,1.571,1.551,1.03,0.726,16.117,3,0.169,1
baseline,H14,5,True,True,20.0,0.241,0.0,0.241,False,True,False,False,dodged but min_dist 0.24 <= hit_radius,False,0.0,1.871,0.288,-0.161,0.155,-0.089,0.14,-0.087,-0.139,13.923,1.571,1.562,0.66,0.377,15.862,7,0.469,1
baseline,H14,6,True,True,21.0,0.383,0.0,0.383,False,True,True,False,clean dodge,False,0.0,1.871,0.304,-0.296,0.016,-0.242,0.095,0.118,-0.314,14.0,1.571,1.563,0.83,0.674,15.779,4,0.234,1
baseline,H14,7,True,True,20.0,0.388,0.0,0.388,False,True,True,False,clean dodge,False,0.0,1.871,0.26,0.072,0.307,0.225,0.242,-0.232,0.198,14.233,1.571,1.565,0.9,0.447,15.781,4,0.25,1
baseline,H14,8,True,True,19.0,0.203,0.0,0.203,False,True,False,False,dodged but min_dist 0.20 <= hit_radius,False,0.0,1.871,0.317,-0.032,-0.184,-0.08,0.225,-0.327,-0.28,14.151,1.571,1.541,1.01,0.716,15.912,4,0.233,1
baseline,H14,9,True,True,18.0,0.418,0.0,0.418,False,True,True,False,clean dodge,False,0.0,1.871,0.25,-0.131,-0.148,-0.368,-0.163,0.121,-0.356,14.0,1.571,1.567,0.98,0.565,15.792,3,0.168,1
