dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,0.0000,0.0750,0.510,0.701
1,0.10,-0.0001,0.1500,0.510,0.701
1,0.15,0.0000,0.2250,0.510,0.701
1,0.20,0.0006,0.3000,0.510,0.701
1,0.30,0.0061,0.4500,0.510,0.701
1,0.40,0.0224,0.6000,0.510,0.701
1,0.60,0.1085,0.9000,0.510,0.701
1,1.00,0.5920,1.5000,0.510,0.701
2,0.05,-0.0010,0.0750,0.680,0.396
2,0.10,-0.0014,0.1500,0.680,0.396
2,0.15,-0.0019,0.2250,0.680,0.396
2,0.20,-0.0017,0.3000,0.680,0.396
2,0.30,0.0038,0.4500,0.680,0.396
2,0.40,0.0195,0.6000,0.680,0.396
2,0.60,0.0935,0.9000,0.680,0.396
2,1.00,0.5959,1.5000,0.680,0.396
3,0.05,0.0001,0.0750,0.790,0.727
3,0.10,0.0003,0.1500,0.790,0.727
3,0.15,0.0006,0.2250,0.790,0.727
3,0.20,0.0012,0.3000,0.790,0.727
3,0.30,0.0053,0.4500,0.790,0.727
3,0.40,0.0191,0.6000,0.790,0.727
3,0.60,0.0834,0.9000,0.790,0.727
3,1.00,0.4887,1.5000,0.790,0.727
4,0.05,0.0003,0.0750,0.760,0.443
4,0.10,0.0006,0.1500,0.760,0.443
4,0.15,0.0009,0.2250,0.760,0.443
4,0.20,0.0017,0.3000,0.760,0.443
4,0.30,0.0055,0.4500,0.760,0.443
4,0.40,0.0151,0.6000,0.760,0.443
4,0.60,0.0730,0.9000,0.760,0.443
4,1.00,0.4779,1.5000,0.760,0.443
5,0.05,-0.0001,0.0750,1.030,0.726
5,0.10,-0.0001,0.1500,1.030,0.726
5,0.15,-0.0000,0.2250,1.030,0.726
5,0.20,0.0004,0.3000,1.030,0.726
5,0.30,0.0044,0.4500,1.030,0.726
5,0.40,0.0157,0.6000,1.030,0.726
5,0.60,0.0762,0.9000,1.030,0.726
5,1.00,0.4812,1.5000,1.030,0.726
6,0.05,-0.0002,0.0750,0.660,0.377
6,0.10,-0.0006,0.1500,0.660,0.377
6,0.15,-0.0007,0.2250,0.660,0.377
6,0.20,-0.0005,0.3000,0.660,0.377
6,0.30,0.0036,0.4500,0.660,0.377
6,0.40,0.0169,0.6000,0.660,0.377
6,0.60,0.0966,0.9000,0.660,0.377
6,1.00,0.5668,1.5000,0.660,0.377
7,0.05,-0.0015,0.0750,0.830,0.674
7,0.10,-0.0026,0.1500,0.830,0.674
7,0.15,-0.0034,0.2250,0.830,0.674
7,0.20,-0.0036,0.3000,0.830,0.674
7,0.30,0.0011,0.4500,0.830,0.674
7,0.40,0.0154,0.6000,0.830,0.674
7,0.60,0.0868,0.9000,0.830,0.674
7,1.00,0.4992,1.5000,0.830,0.674
8,0.05,0.0021,0.0750,0.900,0.447
8,0.10,0.0040,0.1500,0.900,0.447
8,0.15,0.0064,0.2250,0.900,0.447
8,0.20,0.0098,0.3000,0.900,0.447
8,0.30,0.0199,0.4500,0.900,0.447
8,0.40,0.0381,0.6000,0.900,0.447
8,0.60,0.1111,0.9000,0.900,0.447
8,1.00,0.5336,1.5000,0.900,0.447
9,0.05,0.0002,0.0750,1.010,0.716
9,0.10,0.0005,0.1500,1.010,0.716
9,0.15,0.0011,0.2250,1.010,0.716
9,0.20,0.0022,0.3000,1.010,0.716
9,0.30,0.0102,0.4500,1.010,0.716
9,0.40,0.0288,0.6000,1.010,0.716
9,0.60,0.1153,0.9000,1.010,0.716
9,1.00,0.6301,1.5000,1.010,0.716
10,0.05,-0.0018,0.0750,0.980,0.565
10,0.10,-0.0035,0.1500,0.980,0.565
10,0.15,-0.0051,0.2250,0.980,0.565
10,0.20,-0.0067,0.3000,0.980,0.565
10,0.30,-0.0061,0.4500,0.980,0.565
10,0.40,0.0031,0.6000,0.980,0.565
10,0.60,0.0671,0.9000,0.980,0.565
10,1.00,0.5104,1.5000,0.980,0.565
