episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_H14_r0_1786251227,H14,0,134.650,0.4943,0.0939,0.4004,DODGE_SAVED,0.0011,12,262
2,ball_H14_r1_1786251243,H14,1,149.547,0.8404,0.1327,0.7077,DODGE_SAVED,0.0009,12,272
3,ball_H14_r2_1786251258,H14,2,163.998,0.7440,0.1176,0.6263,DODGE_SAVED,0.0014,13,275
4,ball_H14_r3_1786251274,H14,3,179.695,0.8419,0.4297,0.4122,WOULD_HAVE_MISSED,0.0008,12,262
5,ball_H14_r4_1786251290,H14,4,194.616,0.5614,0.1670,0.3944,DODGE_SAVED,0.0006,12,264
6,ball_H14_r5_1786251305,H14,5,208.930,0.5820,0.1255,0.4566,DODGE_SAVED,0.0010,12,270
7,ball_H14_r6_1786251320,H14,6,223.255,0.5046,0.1237,0.3809,DODGE_SAVED,0.0006,13,257
8,ball_H14_r7_1786251335,H14,7,237.943,0.9173,0.1807,0.7366,DODGE_SAVED,0.0017,13,283
9,ball_H14_r8_1786251351,H14,8,252.840,0.7514,0.1707,0.5807,DODGE_SAVED,0.0011,12,271
10,ball_H14_r9_1786251366,H14,9,267.600,0.5415,0.1068,0.4347,DODGE_SAVED,0.0010,13,266
