combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,H26,0,True,True,21.0,0.479,0.0,0.479,False,True,True,False,clean dodge,False,0.0,2.0,0.258,0.008,-0.33,0.348,-0.349,0.056,0.306,20.106,1.7,1.693,1.01,0.456,25.722,16,0.268,2
baseline,H26,1,True,True,155.0,0.624,0.0,0.624,False,True,True,False,clean dodge,False,0.0,2.0,0.333,-0.043,0.496,-0.376,0.352,0.357,-0.418,20.0,1.7,1.695,1.12,0.099,25.987,9,0.171,1
baseline,H26,2,True,True,17.0,0.539,0.0,0.539,False,True,True,False,clean dodge,False,0.0,2.0,0.306,0.035,-0.418,0.339,0.187,-0.573,0.182,20.0,1.7,1.681,1.05,0.732,25.953,15,0.236,1
baseline,H26,3,True,True,19.0,0.7,0.0,0.7,False,True,True,False,clean dodge,False,0.0,2.0,0.259,-0.265,0.616,-0.202,0.506,0.574,-0.488,19.893,1.7,1.664,1.06,0.319,25.799,13,0.201,1
baseline,H26,4,True,True,17.0,0.697,0.0,0.697,False,True,True,False,clean dodge,False,0.0,2.0,0.287,-0.092,0.655,-0.221,0.588,0.532,-0.434,19.877,1.7,1.674,1.07,0.367,25.936,16,0.232,1
baseline,H26,5,True,True,18.0,0.742,0.0,0.742,False,True,True,False,clean dodge,False,0.0,2.0,0.271,-0.39,0.479,-0.41,0.15,0.464,-0.526,20.0,1.7,1.683,1.23,0.637,25.986,6,0.085,1
baseline,H26,6,True,True,18.0,0.417,0.0,0.417,False,True,True,False,clean dodge,False,0.0,2.0,0.239,-0.294,-0.233,-0.184,-0.234,0.001,-0.308,20.328,1.7,1.683,0.93,0.526,25.845,23,0.351,1
baseline,H26,7,True,True,21.0,0.589,0.0,0.589,False,True,True,False,clean dodge,False,0.0,2.0,0.277,-0.191,-0.478,-0.286,-0.1,0.498,-0.286,20.0,1.7,1.693,1.07,0.63,25.838,13,0.2,1
baseline,H26,8,True,True,19.0,0.571,0.0,0.571,False,True,True,False,clean dodge,False,0.0,2.0,0.281,-0.379,-0.076,-0.42,-0.225,0.149,-0.462,19.893,1.7,1.693,1.06,0.647,25.708,14,0.218,1
baseline,H26,9,True,True,19.0,0.584,0.0,0.584,False,True,True,False,clean dodge,False,0.0,2.0,0.273,-0.382,0.156,-0.413,0.018,0.155,-0.561,20.108,1.7,1.68,1.24,0.709,25.866,8,0.114,1
