episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_H26_r0_1786309557,H26,0,135.661,0.4792,0.1007,0.3785,DODGE_SAVED,0.0013,12,273
2,ball_H26_r1_1786309572,H26,1,151.015,0.6238,2.4151,-1.7913,WOULD_HAVE_MISSED,0.0109,14,275
3,ball_H26_r2_1786309588,H26,2,165.893,0.5388,0.2967,0.2420,DODGE_SAVED,0.0007,12,280
4,ball_H26_r3_1786309604,H26,3,181.104,0.7003,0.2560,0.4443,DODGE_SAVED,0.0011,12,285
5,ball_H26_r4_1786309619,H26,4,195.655,0.6969,0.2103,0.4865,DODGE_SAVED,0.0016,13,279
6,ball_H26_r5_1786309635,H26,5,210.655,0.7415,0.2614,0.4802,DODGE_SAVED,0.0005,12,289
7,ball_H26_r6_1786309650,H26,6,224.688,0.4175,0.1588,0.2586,DODGE_SAVED,0.0014,13,270
8,ball_H26_r7_1786309666,H26,7,239.791,0.5891,0.1788,0.4103,DODGE_SAVED,0.0015,12,287
9,ball_H26_r8_1786309682,H26,8,255.162,0.5708,0.1051,0.4658,DODGE_SAVED,0.0012,12,281
10,ball_H26_r9_1786309697,H26,9,269.290,0.5836,0.2152,0.3684,DODGE_SAVED,0.0016,12,286
