dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,0.0004,0.0750,1.010,0.456
1,0.10,0.0006,0.1500,1.010,0.456
1,0.15,0.0011,0.2250,1.010,0.456
1,0.20,0.0024,0.3000,1.010,0.456
1,0.30,0.0089,0.4500,1.010,0.456
1,0.40,0.0237,0.6000,1.010,0.456
1,0.60,0.0876,0.9000,1.010,0.456
1,1.00,0.5035,1.5000,1.010,0.456
2,0.05,0.1114,0.0750,1.120,0.099
2,0.10,0.1857,0.1500,1.120,0.099
2,0.15,0.2801,0.2250,1.120,0.099
2,0.20,0.3719,0.3000,1.120,0.099
2,0.30,0.5540,0.4500,1.120,0.099
2,0.40,0.7545,0.6000,1.120,0.099
2,0.60,1.1889,0.9000,1.120,0.099
2,1.00,2.3952,1.5000,1.120,0.099
3,0.05,0.0001,0.0750,1.050,0.732
3,0.10,0.0003,0.1500,1.050,0.732
3,0.15,0.0005,0.2250,1.050,0.732
3,0.20,0.0010,0.3000,1.050,0.732
3,0.30,0.0042,0.4500,1.050,0.732
3,0.40,0.0134,0.6000,1.050,0.732
3,0.60,0.0683,0.9000,1.050,0.732
3,1.00,0.4653,1.5000,1.050,0.732
4,0.05,-0.0004,0.0750,1.060,0.319
4,0.10,-0.0006,0.1500,1.060,0.319
4,0.15,-0.0007,0.2250,1.060,0.319
4,0.20,0.0002,0.3000,1.060,0.319
4,0.30,0.0070,0.4500,1.060,0.319
4,0.40,0.0238,0.6000,1.060,0.319
4,0.60,0.1090,0.9000,1.060,0.319
4,1.00,0.6062,1.5000,1.060,0.319
5,0.05,-0.0000,0.0750,1.070,0.367
5,0.10,-0.0001,0.1500,1.070,0.367
5,0.15,-0.0001,0.2250,1.070,0.367
5,0.20,0.0005,0.3000,1.070,0.367
5,0.30,0.0052,0.4500,1.070,0.367
5,0.40,0.0204,0.6000,1.070,0.367
5,0.60,0.0979,0.9000,1.070,0.367
5,1.00,0.5904,1.5000,1.070,0.367
6,0.05,-0.0001,0.0750,1.230,0.637
6,0.10,-0.0001,0.1500,1.230,0.637
6,0.15,-0.0001,0.2250,1.230,0.637
6,0.20,0.0011,0.3000,1.230,0.637
6,0.30,0.0073,0.4500,1.230,0.637
6,0.40,0.0241,0.6000,1.230,0.637
6,0.60,0.1055,0.9000,1.230,0.637
6,1.00,0.5136,1.5000,1.230,0.637
7,0.05,-0.0006,0.0750,0.930,0.526
7,0.10,-0.0012,0.1500,0.930,0.526
7,0.15,-0.0017,0.2250,0.930,0.526
7,0.20,-0.0020,0.3000,0.930,0.526
7,0.30,0.0006,0.4500,0.930,0.526
7,0.40,0.0112,0.6000,0.930,0.526
7,0.60,0.0767,0.9000,0.930,0.526
7,1.00,0.4999,1.5000,0.930,0.526
8,0.05,-0.0009,0.0750,1.070,0.630
8,0.10,-0.0016,0.1500,1.070,0.630
8,0.15,-0.0025,0.2250,1.070,0.630
8,0.20,-0.0031,0.3000,1.070,0.630
8,0.30,-0.0021,0.4500,1.070,0.630
8,0.40,0.0062,0.6000,1.070,0.630
8,0.60,0.0603,0.9000,1.070,0.630
8,1.00,0.4543,1.5000,1.070,0.630
9,0.05,-0.0010,0.0750,1.060,0.647
9,0.10,-0.0022,0.1500,1.060,0.647
9,0.15,-0.0028,0.2250,1.060,0.647
9,0.20,-0.0023,0.3000,1.060,0.647
9,0.30,0.0035,0.4500,1.060,0.647
9,0.40,0.0196,0.6000,1.060,0.647
9,0.60,0.1053,0.9000,1.060,0.647
9,1.00,0.5058,1.5000,1.060,0.647
10,0.05,-0.0017,0.0750,1.240,0.709
10,0.10,-0.0034,0.1500,1.240,0.709
10,0.15,-0.0049,0.2250,1.240,0.709
10,0.20,-0.0058,0.3000,1.240,0.709
10,0.30,-0.0034,0.4500,1.240,0.709
10,0.40,0.0088,0.6000,1.240,0.709
10,0.60,0.0782,0.9000,1.240,0.709
10,1.00,0.4525,1.5000,1.240,0.709
