episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_H26_r0_1786325732,H26,0,130.866,0.5786,0.1297,0.4490,DODGE_SAVED,0.0017,13,276
2,ball_H26_r1_1786325747,H26,1,144.831,0.9300,0.1194,0.8106,DODGE_SAVED,0.0015,12,287
3,ball_H26_r2_1786325762,H26,2,159.368,0.6622,0.0638,0.5984,DODGE_SAVED,0.0014,12,287
4,ball_H26_r3_1786325777,H26,3,173.301,0.9716,0.2072,0.7644,DODGE_SAVED,0.0018,13,286
5,ball_H26_r4_1786325792,H26,4,187.342,1.0171,0.2171,0.8001,DODGE_SAVED,0.0017,12,286
6,ball_H26_r5_1786325807,H26,5,201.900,0.7731,0.1065,0.6666,DODGE_SAVED,0.0014,12,279
7,ball_H26_r6_1786325822,H26,6,216.650,0.3491,0.1062,0.2429,DODGE_SAVED,0.0010,13,275
8,ball_H26_r7_1786325838,H26,7,231.411,0.3159,0.1183,0.1976,DODGE_SAVED,0.0007,13,274
9,ball_H26_r8_1786325854,H26,8,246.749,0.4415,0.1565,0.2850,DODGE_SAVED,0.0012,12,271
10,ball_H26_r9_1786325869,H26,9,261.124,0.8019,0.0924,0.7095,DODGE_SAVED,0.0015,12,290
