dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,-0.0015,0.0750,1.090,0.307
1,0.10,-0.0028,0.1500,1.090,0.307
1,0.15,-0.0046,0.2250,1.090,0.307
1,0.20,-0.0061,0.3000,1.090,0.307
1,0.30,-0.0049,0.4500,1.090,0.307
1,0.40,0.0062,0.6000,1.090,0.307
1,0.60,0.0730,0.9000,1.090,0.307
1,1.00,0.4197,1.5000,1.090,0.307
2,0.05,0.0006,0.0750,1.160,0.721
2,0.10,0.0011,0.1500,1.160,0.721
2,0.15,0.0019,0.2250,1.160,0.721
2,0.20,0.0030,0.3000,1.160,0.721
2,0.30,0.0075,0.4500,1.160,0.721
2,0.40,0.0185,0.6000,1.160,0.721
2,0.60,0.0724,0.9000,1.160,0.721
2,1.00,0.4575,1.5000,1.160,0.721
3,0.05,-0.0017,0.0750,1.160,0.737
3,0.10,-0.0031,0.1500,1.160,0.737
3,0.15,-0.0045,0.2250,1.160,0.737
3,0.20,-0.0055,0.3000,1.160,0.737
3,0.30,-0.0028,0.4500,1.160,0.737
3,0.40,0.0089,0.6000,1.160,0.737
3,0.60,0.0780,0.9000,1.160,0.737
3,1.00,0.4636,1.5000,1.160,0.737
4,0.05,0.0012,0.0750,1.140,0.322
4,0.10,0.0022,0.1500,1.140,0.322
4,0.15,0.0036,0.2250,1.140,0.322
4,0.20,0.0057,0.3000,1.140,0.322
4,0.30,0.0142,0.4500,1.140,0.322
4,0.40,0.0291,0.6000,1.140,0.322
4,0.60,0.0995,0.9000,1.140,0.322
4,1.00,0.5295,1.5000,1.140,0.322
5,0.05,0.0006,0.0750,1.100,0.043
5,0.10,0.0012,0.1500,1.100,0.043
5,0.15,0.0020,0.2250,1.100,0.043
5,0.20,0.0034,0.3000,1.100,0.043
5,0.30,0.0088,0.4500,1.100,0.043
5,0.40,0.0204,0.6000,1.100,0.043
5,0.60,0.0811,0.9000,1.100,0.043
5,1.00,0.4973,1.5000,1.100,0.043
6,0.05,0.0003,0.0750,1.030,0.176
6,0.10,0.0006,0.1500,1.030,0.176
6,0.15,0.0010,0.2250,1.030,0.176
6,0.20,0.0017,0.3000,1.030,0.176
6,0.30,0.0065,0.4500,1.030,0.176
6,0.40,0.0189,0.6000,1.030,0.176
6,0.60,0.0837,0.9000,1.030,0.176
6,1.00,0.5117,1.5000,1.030,0.176
7,0.05,0.0016,0.0750,0.780,0.652
7,0.10,0.0039,0.1500,0.780,0.652
7,0.15,0.0054,0.2250,0.780,0.652
7,0.20,0.0076,0.3000,0.780,0.652
7,0.30,0.0159,0.4500,0.780,0.652
7,0.40,0.0321,0.6000,0.780,0.652
7,0.60,0.1050,0.9000,0.780,0.652
7,1.00,0.5888,1.5000,0.780,0.652
8,0.05,0.0014,0.0750,0.820,0.746
8,0.10,0.0023,0.1500,0.820,0.746
8,0.15,0.0036,0.2250,0.820,0.746
8,0.20,0.0056,0.3000,0.820,0.746
8,0.30,0.0129,0.4500,0.820,0.746
8,0.40,0.0256,0.6000,0.820,0.746
8,0.60,0.0871,0.9000,0.820,0.746
8,1.00,0.4828,1.5000,0.820,0.746
9,0.05,-0.0015,0.0750,0.980,0.487
9,0.10,-0.0027,0.1500,0.980,0.487
9,0.15,-0.0035,0.2250,0.980,0.487
9,0.20,-0.0031,0.3000,0.980,0.487
9,0.30,0.0022,0.4500,0.980,0.487
9,0.40,0.0169,0.6000,0.980,0.487
9,0.60,0.0926,0.9000,0.980,0.487
9,1.00,0.5181,1.5000,0.980,0.487
10,0.05,-0.0014,0.0750,1.190,0.541
10,0.10,-0.0023,0.1500,1.190,0.541
10,0.15,-0.0031,0.2250,1.190,0.541
10,0.20,-0.0030,0.3000,1.190,0.541
10,0.30,0.0023,0.4500,1.190,0.541
10,0.40,0.0173,0.6000,1.190,0.541
10,0.60,0.0982,0.9000,1.190,0.541
10,1.00,0.4926,1.5000,1.190,0.541
