episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_H26_r0_1786326276,H26,0,134.367,0.4089,0.2020,0.2069,DODGE_SAVED,0.0012,12,267
2,ball_H26_r1_1786326291,H26,1,148.507,0.6377,0.1137,0.5240,DODGE_SAVED,0.0010,12,279
3,ball_H26_r2_1786326307,H26,2,163.730,0.2290,0.0812,0.1478,DODGE_FAILED,0.0007,12,268
4,ball_H26_r3_1786326322,H26,3,177.644,0.7605,0.1296,0.6309,DODGE_SAVED,0.0013,12,278
5,ball_H26_r4_1786326337,H26,4,191.886,0.6579,0.1191,0.5388,DODGE_SAVED,0.0017,13,283
6,ball_H26_r5_1786326353,H26,5,207.469,0.2478,0.1033,0.1445,DODGE_FAILED,0.0009,12,266
7,ball_H26_r6_1786326368,H26,6,222.002,0.5353,0.1329,0.4024,DODGE_SAVED,0.0014,13,281
8,ball_H26_r7_1786326384,H26,7,236.873,0.7252,0.2637,0.4615,DODGE_SAVED,0.0008,12,287
9,ball_H26_r8_1786326399,H26,8,251.135,0.8892,0.1724,0.7168,DODGE_SAVED,0.0014,12,289
10,ball_H26_r9_1786326414,H26,9,266.521,0.1665,0.1609,0.0056,DODGE_FAILED,0.0006,12,230
