dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,-0.0009,0.0750,0.910,0.680
1,0.10,-0.0023,0.1500,0.910,0.680
1,0.15,-0.0027,0.2250,0.910,0.680
1,0.20,-0.0024,0.3000,0.910,0.680
1,0.30,0.0024,0.4500,0.910,0.680
1,0.40,0.0185,0.6000,0.910,0.680
1,0.60,0.0937,0.9000,0.910,0.680
1,1.00,0.4713,1.5000,0.910,0.680
2,0.05,0.0017,0.0750,0.940,0.502
2,0.10,0.0032,0.1500,0.940,0.502
2,0.15,0.0053,0.2250,0.940,0.502
2,0.20,0.0081,0.3000,0.940,0.502
2,0.30,0.0180,0.4500,0.940,0.502
2,0.40,0.0351,0.6000,0.940,0.502
2,0.60,0.1065,0.9000,0.940,0.502
2,1.00,0.5394,1.5000,0.940,0.502
3,0.05,-0.0004,0.0750,0.750,0.418
3,0.10,-0.0008,0.1500,0.750,0.418
3,0.15,-0.0010,0.2250,0.750,0.418
3,0.20,0.0002,0.3000,0.750,0.418
3,0.30,0.0095,0.4500,0.750,0.418
3,0.40,0.0277,0.6000,0.750,0.418
3,0.60,0.1155,0.9000,0.750,0.418
3,1.00,0.5265,1.5000,0.750,0.418
4,0.05,-0.0013,0.0750,1.110,0.181
4,0.10,-0.0025,0.1500,1.110,0.181
4,0.15,-0.0035,0.2250,1.110,0.181
4,0.20,-0.0034,0.3000,1.110,0.181
4,0.30,0.0025,0.4500,1.110,0.181
4,0.40,0.0181,0.6000,1.110,0.181
4,0.60,0.0939,0.9000,1.110,0.181
4,1.00,0.5179,1.5000,1.110,0.181
5,0.05,-0.0005,0.0750,1.150,0.388
5,0.10,-0.0009,0.1500,1.150,0.388
5,0.15,-0.0014,0.2250,1.150,0.388
5,0.20,-0.0016,0.3000,1.150,0.388
5,0.30,-0.0000,0.4500,1.150,0.388
5,0.40,0.0077,0.6000,1.150,0.388
5,0.60,0.0602,0.9000,1.150,0.388
5,1.00,0.4373,1.5000,1.150,0.388
6,0.05,0.0009,0.0750,0.680,0.368
6,0.10,0.0024,0.1500,0.680,0.368
6,0.15,0.0040,0.2250,0.680,0.368
6,0.20,0.0055,0.3000,0.680,0.368
6,0.30,0.0123,0.4500,0.680,0.368
6,0.40,0.0269,0.6000,0.680,0.368
6,0.60,0.0956,0.9000,0.680,0.368
6,1.00,0.5577,1.5000,0.680,0.368
7,0.05,0.0031,0.0750,0.940,0.642
7,0.10,0.0059,0.1500,0.940,0.642
7,0.15,0.0097,0.2250,0.940,0.642
7,0.20,0.0144,0.3000,0.940,0.642
7,0.30,0.0287,0.4500,0.940,0.642
7,0.40,0.0494,0.6000,0.940,0.642
7,0.60,0.1438,0.9000,0.940,0.642
7,1.00,0.6433,1.5000,0.940,0.642
8,0.05,0.0003,0.0750,1.150,0.671
8,0.10,0.0006,0.1500,1.150,0.671
8,0.15,0.0021,0.2250,1.150,0.671
8,0.20,0.0046,0.3000,1.150,0.671
8,0.30,0.0159,0.4500,1.150,0.671
8,0.40,0.0390,0.6000,1.150,0.671
8,0.60,0.1375,0.9000,1.150,0.671
8,1.00,0.6526,1.5000,1.150,0.671
9,0.05,0.0025,0.0750,1.100,0.298
9,0.10,0.0047,0.1500,1.100,0.298
9,0.15,0.0076,0.2250,1.100,0.298
9,0.20,0.0109,0.3000,1.100,0.298
9,0.30,0.0215,0.4500,1.100,0.298
9,0.40,0.0398,0.6000,1.100,0.298
9,0.60,0.1140,0.9000,1.100,0.298
9,1.00,0.5375,1.5000,1.100,0.298
10,0.05,0.0004,0.0750,0.310,0.347
10,0.10,0.0013,0.1500,0.310,0.347
10,0.15,0.0030,0.2250,0.310,0.347
10,0.20,0.0064,0.3000,0.310,0.347
10,0.30,0.0200,0.4500,0.310,0.347
10,0.40,0.0457,0.6000,0.310,0.347
10,0.60,0.1503,0.9000,0.310,0.347
10,1.00,0.5846,1.5000,0.310,0.347
