combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,H20,0,True,True,19.0,0.107,0.0,0.107,False,True,False,False,dodged but min_dist 0.11 <= hit_radius,False,0.0,1.45,0.236,0.102,0.031,-0.007,0.035,0.007,0.033,19.789,1.15,1.155,0.48,0.712,15.711,4,0.253,1
baseline,H20,1,True,True,19.0,0.076,0.0,0.076,False,True,False,False,dodged but min_dist 0.08 <= hit_radius,False,0.0,1.45,0.277,0.032,-0.002,-0.068,0.08,0.037,-0.029,20.108,1.15,1.156,0.53,0.641,15.818,4,0.24,1
baseline,H20,2,True,True,21.0,0.197,0.0,0.197,False,True,False,False,dodged but min_dist 0.20 <= hit_radius,False,0.0,1.45,0.293,-0.186,-0.011,-0.066,0.002,-0.036,-0.122,20.0,1.15,1.139,0.67,0.627,15.996,3,0.15,1
baseline,H20,3,True,True,19.0,0.187,0.0,0.187,False,True,False,False,dodged but min_dist 0.19 <= hit_radius,False,0.0,1.45,0.328,-0.17,0.004,-0.08,0.1,0.045,-0.091,20.106,1.15,1.148,0.56,0.557,15.777,4,0.222,1
baseline,H20,4,True,True,20.0,0.163,0.0,0.163,False,True,False,False,dodged but min_dist 0.16 <= hit_radius,False,0.0,1.45,0.277,0.158,0.038,-0.01,0.113,-0.051,0.007,20.109,1.15,1.151,0.48,0.681,15.719,5,0.306,1
baseline,H20,5,True,True,180.0,0.088,0.0,0.088,False,True,False,False,dodged but min_dist 0.09 <= hit_radius,False,0.0,1.45,0.288,0.048,0.052,-0.053,0.115,-0.035,-0.064,20.0,1.15,1.145,0.56,0.267,15.888,3,0.201,1
baseline,H20,6,True,True,20.0,0.217,0.0,0.217,False,True,False,False,dodged but min_dist 0.22 <= hit_radius,False,0.0,1.45,0.243,-0.153,0.128,0.086,0.129,0.024,0.041,20.108,1.15,1.14,0.69,0.733,15.696,3,0.168,1
baseline,H20,7,True,True,20.0,0.222,0.0,0.222,False,True,False,False,dodged but min_dist 0.22 <= hit_radius,False,0.0,1.45,0.287,-0.046,0.061,-0.208,0.226,0.064,-0.151,20.0,1.15,1.157,0.58,0.651,15.892,3,0.168,1
baseline,H20,8,True,True,21.0,0.212,0.0,0.212,False,True,False,False,dodged but min_dist 0.21 <= hit_radius,False,0.0,1.45,0.304,-0.185,0.06,-0.083,0.057,0.026,-0.133,20.0,1.15,1.141,0.65,0.161,15.774,3,0.162,1
baseline,H20,9,True,True,16.0,0.127,0.0,0.127,False,True,False,False,dodged but min_dist 0.13 <= hit_radius,False,0.0,1.45,0.265,0.084,0.07,-0.066,0.123,-0.021,-0.066,20.0,1.15,1.151,0.41,0.654,15.973,6,0.382,1
