episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_H20_r0_1786252105,H20,0,138.320,0.1069,0.1047,0.0022,DODGE_FAILED,0.0016,12,275
2,ball_H20_r1_1786252121,H20,1,153.618,0.0755,0.0883,-0.0128,DODGE_FAILED,0.0014,12,281
3,ball_H20_r2_1786252137,H20,2,168.841,0.1973,0.1449,0.0524,DODGE_FAILED,0.0015,12,284
4,ball_H20_r3_1786252153,H20,3,183.711,0.1874,0.2015,-0.0141,DODGE_FAILED,0.0014,12,279
5,ball_H20_r4_1786252168,H20,4,198.906,0.1632,0.1198,0.0434,DODGE_FAILED,0.0013,12,282
6,ball_H20_r5_1786252185,H20,5,214.515,0.0881,0.0641,0.0240,DODGE_FAILED,0.0009,12,273
7,ball_H20_r6_1786252200,H20,6,228.771,0.2172,0.1727,0.0445,DODGE_FAILED,0.0015,12,284
8,ball_H20_r7_1786252214,H20,7,242.838,0.2216,0.1137,0.1079,DODGE_FAILED,0.0017,12,286
9,ball_H20_r8_1786252229,H20,8,256.832,0.2116,0.1599,0.0517,DODGE_FAILED,0.0013,12,288
10,ball_H20_r9_1786252244,H20,9,271.041,0.1274,0.0948,0.0325,DODGE_FAILED,0.0012,14,275
