dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,-0.0007,0.0750,0.480,0.712
1,0.10,-0.0013,0.1500,0.480,0.712
1,0.15,-0.0018,0.2250,0.480,0.712
1,0.20,-0.0018,0.3000,0.480,0.712
1,0.30,0.0014,0.4500,0.480,0.712
1,0.40,0.0130,0.6000,0.480,0.712
1,0.60,0.0706,0.9000,0.480,0.712
1,1.00,0.4836,1.5000,0.480,0.712
2,0.05,-0.0010,0.0750,0.530,0.641
2,0.10,-0.0018,0.1500,0.530,0.641
2,0.15,-0.0027,0.2250,0.530,0.641
2,0.20,-0.0034,0.3000,0.530,0.641
2,0.30,-0.0030,0.4500,0.530,0.641
2,0.40,0.0037,0.6000,0.530,0.641
2,0.60,0.0505,0.9000,0.530,0.641
2,1.00,0.4360,1.5000,0.530,0.641
3,0.05,-0.0012,0.0750,0.670,0.627
3,0.10,-0.0024,0.1500,0.670,0.627
3,0.15,-0.0035,0.2250,0.670,0.627
3,0.20,-0.0045,0.3000,0.670,0.627
3,0.30,-0.0027,0.4500,0.670,0.627
3,0.40,0.0082,0.6000,0.670,0.627
3,0.60,0.0780,0.9000,0.670,0.627
3,1.00,0.5450,1.5000,0.670,0.627
4,0.05,-0.0009,0.0750,0.560,0.557
4,0.10,-0.0018,0.1500,0.560,0.557
4,0.15,-0.0026,0.2250,0.560,0.557
4,0.20,-0.0033,0.3000,0.560,0.557
4,0.30,-0.0010,0.4500,0.560,0.557
4,0.40,0.0100,0.6000,0.560,0.557
4,0.60,0.0782,0.9000,0.560,0.557
4,1.00,0.5511,1.5000,0.560,0.557
5,0.05,0.0031,0.0750,0.480,0.681
5,0.10,0.0060,0.1500,0.480,0.681
5,0.15,0.0101,0.2250,0.480,0.681
5,0.20,0.0145,0.3000,0.480,0.681
5,0.30,0.0284,0.4500,0.480,0.681
5,0.40,0.0515,0.6000,0.480,0.681
5,0.60,0.1427,0.9000,0.480,0.681
5,1.00,0.6403,1.5000,0.480,0.681
6,0.05,-0.0007,0.0750,0.560,0.267
6,0.10,-0.0011,0.1500,0.560,0.267
6,0.15,-0.0016,0.2250,0.560,0.267
6,0.20,-0.0017,0.3000,0.560,0.267
6,0.30,0.0029,0.4500,0.560,0.267
6,0.40,0.0165,0.6000,0.560,0.267
6,0.60,0.0873,0.9000,0.560,0.267
6,1.00,0.5194,1.5000,0.560,0.267
7,0.05,0.0010,0.0750,0.690,0.733
7,0.10,0.0017,0.1500,0.690,0.733
7,0.15,0.0028,0.2250,0.690,0.733
7,0.20,0.0043,0.3000,0.690,0.733
7,0.30,0.0102,0.4500,0.690,0.733
7,0.40,0.0236,0.6000,0.690,0.733
7,0.60,0.0902,0.9000,0.690,0.733
7,1.00,0.5120,1.5000,0.690,0.733
8,0.05,-0.0009,0.0750,0.580,0.651
8,0.10,-0.0015,0.1500,0.580,0.651
8,0.15,-0.0018,0.2250,0.580,0.651
8,0.20,-0.0008,0.3000,0.580,0.651
8,0.30,0.0065,0.4500,0.580,0.651
8,0.40,0.0242,0.6000,0.580,0.651
8,0.60,0.1027,0.9000,0.580,0.651
8,1.00,0.4745,1.5000,0.580,0.651
9,0.05,-0.0013,0.0750,0.650,0.161
9,0.10,-0.0023,0.1500,0.650,0.161
9,0.15,-0.0030,0.2250,0.650,0.161
9,0.20,-0.0027,0.3000,0.650,0.161
9,0.30,0.0032,0.4500,0.650,0.161
9,0.40,0.0194,0.6000,0.650,0.161
9,0.60,0.0980,0.9000,0.650,0.161
9,1.00,0.4346,1.5000,0.650,0.161
10,0.05,-0.0006,0.0750,0.410,0.654
10,0.10,-0.0012,0.1500,0.410,0.654
10,0.15,-0.0011,0.2250,0.410,0.654
10,0.20,0.0000,0.3000,0.410,0.654
10,0.30,0.0078,0.4500,0.410,0.654
10,0.40,0.0264,0.6000,0.410,0.654
10,0.60,0.1150,0.9000,0.410,0.654
10,1.00,0.5045,1.5000,0.410,0.654
