trial,dir_label,t_commit_s,cmd_flu_x,cmd_flu_y,cmd_flu_z,yaw_rad,x,y,z,vx,vy,vz
0,+Y,110.750000,0.0000,1.5000,0.0000,0.000213,0.00000,0.00000,2.19000,-0.00149,-0.00009,-0.00247
1,-Y,119.100000,0.0000,-1.5000,0.0000,0.000174,0.00000,0.00000,2.18000,-0.00047,-0.00087,0.00069
2,+X,127.500000,1.5000,0.0000,0.0000,0.000353,0.00000,0.00000,2.18000,-0.00062,-0.00293,-0.00265
3,-X,135.950000,-1.5000,0.0000,0.0000,0.000236,0.00000,0.00000,2.18000,-0.00005,0.00527,-0.00432
4,+Y,144.350000,0.0000,1.5000,0.0000,0.000177,0.00000,0.00000,2.18000,0.00036,0.00123,-0.00006
5,-Y,152.750000,0.0000,-1.5000,0.0000,0.000576,0.00000,0.00000,2.18000,-0.00010,-0.00166,-0.00026
6,+X,161.100000,1.5000,0.0000,0.0000,0.000408,0.00000,0.00000,2.18000,-0.00005,-0.00168,0.00285
7,-X,169.550000,-1.5000,0.0000,0.0000,0.000734,0.00000,0.00000,2.18000,0.00123,0.00490,-0.00479
8,+Y,177.900000,0.0000,1.5000,0.0000,0.000553,0.00908,0.00000,2.18000,-0.00900,-0.00249,-0.00250
9,-Y,186.250000,0.0000,-1.5000,0.0000,0.000566,0.00000,0.00000,2.18000,0.00084,0.00261,-0.00344
10,+X,194.600000,1.5000,0.0000,0.0000,0.000961,0.00000,0.00000,2.18000,0.00158,0.00377,0.00751
11,-X,203.000000,-1.5000,0.0000,0.0000,0.000856,0.00908,0.00000,2.18000,-0.00139,0.00515,0.00101
12,+Y,211.350000,0.0000,1.5000,0.0000,0.000513,0.00000,0.00000,2.18000,0.00111,-0.00108,-0.00148
13,-Y,219.750000,0.0000,-1.5000,0.0000,0.000605,0.00000,0.00000,2.18000,0.00133,-0.00321,0.00099
14,+X,228.100000,1.5000,0.0000,0.0000,0.000469,0.00000,0.00000,2.18000,0.00160,0.00143,-0.00174
15,-X,236.500000,-1.5000,0.0000,0.0000,0.000669,0.00000,0.00000,2.18000,-0.00105,-0.00168,-0.00103
16,+Y,244.900000,0.0000,1.5000,0.0000,0.000201,0.00000,0.00000,2.18000,0.00160,0.00732,0.00585
17,-Y,253.250000,0.0000,-1.5000,0.0000,0.000307,0.00908,0.00000,2.18000,-0.00110,-0.00072,-0.00311
18,+X,261.650000,1.5000,0.0000,0.0000,0.000454,0.00000,0.00000,2.18000,0.00136,-0.00037,0.00178
19,-X,270.050000,-1.5000,0.0000,0.0000,0.000794,0.00000,0.00000,2.18000,0.00180,-0.00222,0.00317
20,+Y,278.400000,0.0000,1.5000,0.0000,0.000722,0.00000,0.00000,2.18000,0.00153,-0.00089,-0.00304
21,-Y,286.850000,0.0000,-1.5000,0.0000,0.000577,0.00000,0.00000,2.18000,0.00165,0.00061,-0.00015
22,+X,295.200000,1.5000,0.0000,0.0000,0.000370,0.00908,0.00000,2.18000,-0.00941,0.00018,-0.00138
23,-X,303.600000,-1.5000,0.0000,0.0000,0.000413,0.00000,0.00000,2.18000,0.00221,-0.00016,-0.00120
24,+Y,311.950000,0.0000,1.5000,0.0000,0.000507,0.00908,0.00000,2.18000,0.00141,-0.00023,0.00039
25,-Y,320.350000,0.0000,-1.5000,0.0000,0.000122,0.00000,0.00000,2.18000,0.00119,0.00003,-0.00264
26,+X,328.700000,1.5000,0.0000,0.0000,0.000215,0.00000,0.00000,2.18000,0.00211,-0.00129,-0.00007
27,-X,337.100000,-1.5000,0.0000,0.0000,-0.000079,0.00000,0.00000,2.18000,0.00205,0.00276,0.00270
