t_s,x,y,z,vx,vy,vz,qx,qy,qz,qw
0.000000,-0.48114,1.78110,2.18000,-0.00166,0.00717,-0.00108,0.001763,0.002251,0.738276,0.674492
0.000000,-0.48114,1.78110,2.18000,-0.00166,0.00717,-0.00108,0.001763,0.002251,0.738276,0.674492
0.000000,-0.48114,1.80337,2.18000,-0.00115,0.00457,-0.00652,-0.000568,-0.003437,0.738235,0.674535
0.000000,-0.48114,1.80337,2.18000,-0.00115,0.00457,-0.00652,-0.000568,-0.003437,0.738235,0.674535
0.000000,-0.48114,1.80337,2.18000,-0.00115,0.00457,-0.00652,-0.000568,-0.003437,0.738235,0.674535
0.000000,-0.48114,1.80337,2.18000,-0.00115,0.00457,-0.00652,-0.000568,-0.003437,0.738235,0.674535
0.000000,-0.48114,1.80337,2.18000,-0.00115,0.00457,-0.00652,-0.000568,-0.003437,0.738235,0.674535
0.000000,-0.48114,1.80337,2.18000,-0.00115,0.00457,-0.00652,-0.000568,-0.003437,0.738235,0.674535
0.000000,-0.48114,1.80337,2.18000,-0.00115,0.00457,-0.00652,-0.000568,-0.003437,0.738235,0.674535
0.000000,-0.48114,1.80337,2.18000,-0.00115,0.00457,-0.00652,0.003093,0.000758,0.738311,0.674453
0.000000,-0.48114,1.80337,2.18000,-0.00172,-0.00595,-0.00520,0.003093,0.000758,0.738311,0.674453
0.000000,-0.48114,1.80337,2.18000,-0.00172,-0.00595,-0.00520,0.003093,0.000758,0.738311,0.674453
0.000000,-0.48114,1.80337,2.18000,-0.00172,-0.00595,-0.00520,0.003093,0.000758,0.738311,0.674453
0.000000,-0.48114,1.80337,2.18000,-0.00172,-0.00595,-0.00520,0.003093,0.000758,0.738311,0.674453
0.000000,-0.48114,1.80337,2.18000,-0.00172,-0.00595,-0.00520,0.003093,0.000758,0.738311,0.674453
0.000000,-0.48114,1.80337,2.18000,-0.00172,-0.00595,-0.00520,0.003093,0.000758,0.738311,0.674453
0.000000,-0.48114,1.80337,2.18000,-0.00172,-0.00595,-0.00520,0.003093,0.000758,0.738311,0.674453
0.000000,-0.48114,1.78110,2.18000,-0.00035,-0.01142,-0.00583,-0.001645,-0.001778,0.738402,0.674356
0.000000,-0.48114,1.78110,2.18000,-0.00035,-0.01142,-0.00583,-0.001645,-0.001778,0.738402,0.674356
0.000000,-0.48114,1.78110,2.18000,-0.00035,-0.01142,-0.00583,-0.001645,-0.001778,0.738402,0.674356
0.000000,-0.48114,1.78110,2.18000,-0.00035,-0.01142,-0.00583,-0.001645,-0.001778,0.738402,0.674356
0.000000,-0.48114,1.78110,2.18000,-0.00035,-0.01142,-0.00583,-0.001645,-0.001778,0.738402,0.674356
0.000000,-0.48114,1.78110,2.18000,-0.00035,-0.01142,-0.00583,-0.001645,-0.001778,0.738402,0.674356
0.000000,-0.48114,1.78110,2.18000,-0.00035,-0.01142,-0.00583,-0.001645,-0.001778,0.738402,0.674356
0.000000,-0.48114,1.78110,2.18000,-0.00344,-0.00508,-0.00360,-0.000409,0.002253,0.738262,0.674510
0.000000,-0.48114,1.78110,2.18000,-0.00344,-0.00508,-0.00360,-0.000409,0.002253,0.738262,0.674510
0.000000,-0.48114,1.78110,2.18000,-0.00344,-0.00508,-0.00360,-0.000409,0.002253,0.738262,0.674510
0.000000,-0.48114,1.78110,2.18000,-0.00344,-0.00508,-0.00360,-0.000409,0.002253,0.738262,0.674510
0.000000,-0.48114,1.78110,2.18000,-0.00344,-0.00508,-0.00360,-0.000409,0.002253,0.738262,0.674510
0.000000,-0.48114,1.78110,2.18000,-0.00344,-0.00508,-0.00360,-0.000409,0.002253,0.738262,0.674510
0.000000,-0.48114,1.78110,2.18000,-0.00344,-0.00508,-0.00360,-0.000409,0.002253,0.738262,0.674510
0.000000,-0.48114,1.78110,2.18000,-0.00344,-0.00508,-0.00360,-0.000409,0.002253,0.738262,0.674510
0.000000,-0.48114,1.78110,2.18000,-0.00121,0.00209,0.00113,-0.001215,0.000099,0.738334,0.674435
0.000000,-0.48114,1.78110,2.18000,-0.00121,0.00209,0.00113,-0.001215,0.000099,0.738334,0.674435
0.000000,-0.48114,1.78110,2.18000,-0.00121,0.00209,0.00113,-0.001215,0.000099,0.738334,0.674435
0.000000,-0.48114,1.78110,2.18000,-0.00121,0.00209,0.00113,-0.001215,0.000099,0.738334,0.674435
0.000000,-0.48114,1.78110,2.18000,-0.00121,0.00209,0.00113,-0.001215,0.000099,0.738334,0.674435
0.000000,-0.48114,1.78110,2.18000,-0.00121,0.00209,0.00113,-0.001215,0.000099,0.738334,0.674435
0.000000,-0.48114,1.78110,2.18000,-0.00121,0.00209,0.00113,-0.001215,0.000099,0.738334,0.674435
0.000000,-0.48114,1.78110,2.18000,-0.00121,0.00209,0.00113,-0.000465,0.000097,0.738198,0.674584
0.000000,-0.48114,1.78110,2.17000,-0.00448,0.00499,0.00580,-0.000465,0.000097,0.738198,0.674584
0.000000,-0.48114,1.78110,2.17000,-0.00448,0.00499,0.00580,-0.000465,0.000097,0.738198,0.674584
0.000000,-0.48114,1.78110,2.17000,-0.00448,0.00499,0.00580,-0.000465,0.000097,0.738198,0.674584
0.000000,-0.48114,1.78110,2.17000,-0.00448,0.00499,0.00580,-0.000465,0.000097,0.738198,0.674584
0.000000,-0.48114,1.78110,2.17000,-0.00448,0.00499,0.00580,-0.000465,0.000097,0.738198,0.674584
0.000000,-0.48114,1.78110,2.17000,-0.00448,0.00499,0.00580,-0.000465,0.000097,0.738198,0.674584
0.000000,-0.48114,1.78110,2.17000,-0.00448,0.00499,0.00580,-0.000465,0.000097,0.738198,0.674584
0.000000,-0.48114,1.78110,2.18000,-0.00125,0.00668,0.00436,0.000747,0.001143,0.738324,0.674445
0.000000,-0.48114,1.78110,2.18000,-0.00125,0.00668,0.00436,0.000747,0.001143,0.738324,0.674445
0.000000,-0.48114,1.78110,2.18000,-0.00125,0.00668,0.00436,0.000747,0.001143,0.738324,0.674445
0.000000,-0.48114,1.78110,2.18000,-0.00125,0.00668,0.00436,0.000747,0.001143,0.738324,0.674445
0.000000,-0.48114,1.78110,2.18000,-0.00125,0.00668,0.00436,0.000747,0.001143,0.738324,0.674445
0.000000,-0.48114,1.78110,2.18000,-0.00125,0.00668,0.00436,0.000747,0.001143,0.738324,0.674445
0.000000,-0.48114,1.78110,2.18000,-0.00125,0.00668,0.00436,0.000747,0.001143,0.738324,0.674445
0.000000,-0.48114,1.80337,2.18000,-0.00356,0.00717,0.00180,-0.001042,-0.001582,0.738224,0.674554
0.000000,-0.48114,1.80337,2.18000,-0.00356,0.00717,0.00180,-0.001042,-0.001582,0.738224,0.674554
0.000000,-0.48114,1.80337,2.18000,-0.00356,0.00717,0.00180,-0.001042,-0.001582,0.738224,0.674554
0.000000,-0.48114,1.80337,2.18000,-0.00356,0.00717,0.00180,-0.001042,-0.001582,0.738224,0.674554
0.000000,-0.48114,1.80337,2.18000,-0.00356,0.00717,0.00180,-0.001042,-0.001582,0.738224,0.674554
0.000000,-0.48114,1.80337,2.18000,-0.00356,0.00717,0.00180,-0.001042,-0.001582,0.738224,0.674554
0.000000,-0.48114,1.80337,2.18000,-0.00356,0.00717,0.00180,-0.001042,-0.001582,0.738224,0.674554
0.000000,-0.48114,1.80337,2.18000,-0.00356,0.00717,0.00180,-0.001042,-0.001582,0.738224,0.674554
0.000000,-0.48114,1.80337,2.18000,-0.00137,-0.00056,-0.00383,0.003422,0.000607,0.738307,0.674456
0.000000,-0.48114,1.80337,2.18000,-0.00137,-0.00056,-0.00383,0.003422,0.000607,0.738307,0.674456
0.000000,-0.48114,1.80337,2.18000,-0.00137,-0.00056,-0.00383,0.003422,0.000607,0.738307,0.674456
0.000000,-0.48114,1.80337,2.18000,-0.00137,-0.00056,-0.00383,0.003422,0.000607,0.738307,0.674456
0.000000,-0.48114,1.80337,2.18000,-0.00137,-0.00056,-0.00383,0.003422,0.000607,0.738307,0.674456
0.000000,-0.48114,1.80337,2.18000,-0.00137,-0.00056,-0.00383,0.003422,0.000607,0.738307,0.674456
809.234000,-0.48114,1.80337,2.18000,-0.00137,-0.00056,-0.00383,0.003422,0.000607,0.738307,0.674456
809.268000,-0.48114,1.80337,2.18000,-0.00137,-0.00056,-0.00383,-0.000854,-0.002663,0.738219,0.674555
809.300000,-0.48114,1.80337,2.18000,-0.00160,-0.00886,-0.00027,-0.000854,-0.002663,0.738219,0.674555
809.334000,-0.48114,1.80337,2.18000,-0.00160,-0.00886,-0.00027,-0.000854,-0.002663,0.738219,0.674555
809.367000,-0.48114,1.80337,2.18000,-0.00160,-0.00886,-0.00027,-0.000854,-0.002663,0.738219,0.674555
809.401000,-0.48114,1.80337,2.18000,-0.00160,-0.00886,-0.00027,-0.000854,-0.002663,0.738219,0.674555
809.434000,-0.48114,1.80337,2.18000,-0.00160,-0.00886,-0.00027,-0.000854,-0.002663,0.738219,0.674555
809.467000,-0.48114,1.80337,2.18000,-0.00160,-0.00886,-0.00027,-0.000854,-0.002663,0.738219,0.674555
809.500000,-0.48114,1.80337,2.18000,-0.00160,-0.00886,-0.00027,-0.000854,-0.002663,0.738219,0.674555
809.535000,-0.48114,1.80337,2.18000,-0.03878,-0.01642,-0.00368,-0.015582,-0.017918,0.738119,0.674253
809.567000,-0.48114,1.80337,2.18000,-0.03878,-0.01642,-0.00368,-0.015582,-0.017918,0.738119,0.674253
809.600000,-0.48114,1.80337,2.18000,-0.03878,-0.01642,-0.00368,-0.015582,-0.017918,0.738119,0.674253
809.634000,-0.48114,1.80337,2.18000,-0.03878,-0.01642,-0.00368,-0.015582,-0.017918,0.738119,0.674253
809.667000,-0.48114,1.80337,2.18000,-0.03878,-0.01642,-0.00368,-0.015582,-0.017918,0.738119,0.674253
809.700000,-0.48114,1.80337,2.18000,-0.03878,-0.01642,-0.00368,-0.015582,-0.017918,0.738119,0.674253
809.734000,-0.48114,1.80337,2.18000,-0.03878,-0.01642,-0.00368,-0.015582,-0.017918,0.738119,0.674253
809.768000,-0.52653,1.80337,2.18000,-0.34247,-0.04633,-0.00374,-0.068038,-0.075124,0.735088,0.670353
809.800000,-0.52653,1.80337,2.18000,-0.34247,-0.04633,-0.00374,-0.068038,-0.075124,0.735088,0.670353
809.834000,-0.52653,1.80337,2.18000,-0.34247,-0.04633,-0.00374,-0.068038,-0.075124,0.735088,0.670353
809.867000,-0.52653,1.80337,2.18000,-0.34247,-0.04633,-0.00374,-0.068038,-0.075124,0.735088,0.670353
809.900000,-0.52653,1.80337,2.18000,-0.34247,-0.04633,-0.00374,-0.068038,-0.075124,0.735088,0.670353
809.934000,-0.52653,1.80337,2.18000,-0.34247,-0.04633,-0.00374,-0.068038,-0.075124,0.735088,0.670353
809.967000,-0.52653,1.80337,2.18000,-0.34247,-0.04633,-0.00374,-0.068038,-0.075124,0.735088,0.670353
810.001000,-0.52653,1.80337,2.18000,-0.34247,-0.04633,-0.00374,-0.068038,-0.075124,0.735088,0.670353
810.035000,-0.68993,1.76997,2.18000,-0.90100,-0.09987,0.00539,-0.075858,-0.074708,0.779243,0.617612
810.067000,-0.68993,1.76997,2.18000,-0.90100,-0.09987,0.00539,-0.075858,-0.074708,0.779243,0.617612
810.100000,-0.68993,1.76997,2.18000,-0.90100,-0.09987,0.00539,-0.075858,-0.074708,0.779243,0.617612
810.134000,-0.68993,1.76997,2.18000,-0.90100,-0.09987,0.00539,-0.075858,-0.074708,0.779243,0.617612
810.167000,-0.68993,1.76997,2.18000,-0.90100,-0.09987,0.00539,-0.075858,-0.074708,0.779243,0.617612
810.200000,-0.68993,1.76997,2.18000,-0.90100,-0.09987,0.00539,-0.075858,-0.074708,0.779243,0.617612
810.234000,-0.68993,1.76997,2.18000,-0.90100,-0.09987,0.00539,-0.075858,-0.074708,0.779243,0.617612
810.268000,-0.68993,1.76997,2.18000,-0.90100,-0.09987,0.00539,-0.033924,-0.056829,0.851658,0.519903
810.300000,-0.96227,1.74771,2.18000,-1.31443,-0.19315,0.00576,-0.033924,-0.056829,0.851658,0.519903
