combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,S08,0,True,True,20.0,0.289,0.0,0.289,False,True,False,False,dodged but min_dist 0.29 <= hit_radius,False,2.169,1.05,0.284,-0.029,-0.167,-0.234,0.443,0.124,-0.034,8.0,0.75,0.798,0.28,0.65,4.857,3,0.168,1
baseline,S08,1,True,True,18.0,0.243,0.0,0.243,False,True,False,False,dodged but min_dist 0.24 <= hit_radius,False,2.17,1.05,0.281,-0.03,-0.182,-0.158,0.318,0.153,-0.032,7.788,0.75,0.789,0.09,0.251,4.958,3,0.169,2
baseline,S08,2,True,True,19.0,0.216,0.0,0.216,False,True,False,False,dodged but min_dist 0.22 <= hit_radius,False,2.169,1.05,0.354,-0.106,-0.151,-0.111,0.295,0.124,-0.024,7.952,0.75,0.776,0.34,0.453,4.93,3,0.17,1
baseline,S14,0,True,True,20.0,0.254,0.0,0.254,False,True,False,False,dodged but min_dist 0.25 <= hit_radius,False,2.168,1.014,0.257,-0.159,-0.17,-0.102,0.407,0.134,-0.038,14.0,0.714,0.73,0.06,0.296,4.7,3,0.169,1
baseline,S14,1,True,True,12.0,0.229,0.0,0.229,False,True,False,False,dodged but min_dist 0.23 <= hit_radius,False,2.169,1.014,0.292,-0.082,-0.161,-0.14,0.525,0.113,-0.024,14.239,0.714,0.742,0.09,0.221,4.967,3,0.151,1
baseline,S14,2,True,True,19.0,0.199,0.0,0.199,False,True,False,False,dodged but min_dist 0.20 <= hit_radius,False,2.166,1.014,0.297,-0.052,-0.158,-0.109,0.341,0.128,-0.035,14.0,0.714,0.733,0.09,0.519,4.893,3,0.153,1
baseline,S20,0,True,True,19.0,0.231,0.0,0.231,False,True,False,False,dodged but min_dist 0.23 <= hit_radius,False,2.168,1.05,0.253,-0.11,-0.168,-0.115,0.603,0.113,-0.02,20.106,0.75,0.772,0.05,0.544,4.961,3,0.153,1
baseline,S20,1,True,False,,0.274,0.0,0.274,False,True,False,False,no dodge fired,False,2.173,1.05,0.288,-0.177,-0.183,-0.101,0.532,0.134,-0.033,20.0,0.75,0.766,,,4.636,,,
baseline,S20,2,True,False,,0.208,0.0,0.208,False,True,False,False,no dodge fired,False,1.921,1.05,0.299,-0.018,-0.167,-0.122,0.511,0.121,-0.027,19.896,0.75,0.773,,,4.819,,,
baseline,S20N,0,False,False,,1.336,1.5,0.164,False,True,True,False,correctly ignored,False,2.045,1.05,0.278,-0.182,1.321,-0.087,0.516,0.132,-0.023,20.106,0.75,0.764,,,4.789,,,
baseline,S20N,1,False,False,,1.351,1.5,0.149,False,True,True,False,correctly ignored,False,2.026,1.05,0.259,0.012,1.341,-0.16,0.68,0.098,-0.026,20.108,0.75,0.784,,,4.991,,,
