episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_S08_r0_1786109764,S08,0,123.040,0.1313,0.1240,0.0073,DODGE_FAILED,0.0107,12,280
2,ball_S08_r1_1786109778,S08,1,137.292,0.2948,0.2888,0.0060,DODGE_FAILED,0.0102,12,268
3,ball_S08_r2_1786109793,S08,2,151.211,0.2831,0.1540,0.1291,DODGE_FAILED,0.0109,12,290
4,ball_S14_r0_1786109809,S14,0,166.777,0.2570,0.2328,0.0242,DODGE_FAILED,0.0131,13,354
5,ball_S14_r1_1786109827,S14,1,182.468,0.2298,0.1812,0.0486,DODGE_FAILED,0.0095,12,281
6,ball_S14_r2_1786109842,S14,2,196.527,0.2521,0.2045,0.0476,DODGE_FAILED,0.0099,12,286
7,ball_S20_r0_1786109858,S20,0,212.326,0.2399,0.2437,-0.0038,DODGE_FAILED,0.0133,12,266
8,ball_S20_r1_1786109872,S20,1,,0.2834,,,NO_DODGE,,0,313
9,ball_S20_r2_1786109886,S20,2,239.332,0.2848,0.2674,0.0174,DODGE_FAILED,0.0102,12,273
10,ball_S20N_r0_1786109900,S20N,0,,1.3436,,,NO_DODGE,,0,318
11,ball_S20N_r1_1786109913,S20N,1,,1.3345,,,NO_DODGE,,0,313
