combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,S08,0,True,True,19.0,0.328,0.0,0.328,False,True,True,False,clean dodge,False,2.076,1.05,0.25,-0.033,-0.038,0.324,-0.864,0.119,-0.026,7.957,0.75,0.637,0.96,0.593,8.377,3,0.153,1
baseline,S08,1,True,True,19.0,0.329,0.0,0.329,False,True,True,False,clean dodge,False,2.153,1.05,0.301,-0.005,-0.185,-0.272,0.54,0.135,-0.009,7.957,0.75,0.814,0.41,0.192,10.016,4,0.322,2
baseline,S08,2,True,True,21.0,0.335,0.0,0.335,False,True,True,False,clean dodge,False,2.169,1.05,0.263,-0.171,-0.176,-0.228,0.609,0.12,-0.016,7.958,0.75,0.803,0.44,0.62,10.09,4,0.308,2
baseline,S08,3,True,True,19.0,0.39,0.0,0.39,False,True,True,False,clean dodge,False,2.166,1.05,0.263,-0.186,-0.184,-0.289,0.72,0.119,-0.025,8.0,0.75,0.813,0.06,0.232,10.275,3,0.155,3
baseline,S08,4,True,True,19.0,0.241,0.0,0.241,False,True,False,False,dodged but min_dist 0.24 <= hit_radius,False,2.167,1.05,0.287,-0.067,-0.158,-0.169,0.376,0.123,-0.022,8.0,0.75,0.787,0.16,0.408,9.777,3,0.138,3
baseline,S08,5,True,True,20.0,0.545,0.0,0.545,False,True,True,False,clean dodge,False,2.162,1.05,0.259,-0.211,-0.204,-0.459,1.104,0.117,0.009,8.042,0.75,0.857,0.4,0.668,10.352,4,0.225,1
baseline,S08,6,True,True,18.0,0.288,0.0,0.288,False,True,False,False,dodged but min_dist 0.29 <= hit_radius,False,2.168,1.05,0.251,-0.073,-0.177,-0.215,0.48,0.132,-0.019,7.957,0.75,0.799,0.32,0.735,10.063,3,0.167,2
baseline,S08,7,True,True,18.0,0.265,0.0,0.265,False,True,False,False,dodged but min_dist 0.27 <= hit_radius,False,2.169,1.05,0.325,-0.134,-0.166,-0.158,0.411,0.129,-0.027,8.0,0.75,0.782,0.52,0.567,9.834,4,0.238,1
baseline,S08,8,True,True,17.0,0.253,0.0,0.253,False,True,False,False,dodged but min_dist 0.25 <= hit_radius,False,2.169,1.05,0.27,0.011,-0.144,-0.208,0.376,0.109,-0.02,7.957,0.75,0.798,0.37,0.721,9.894,3,0.168,1
baseline,S08,9,True,True,21.0,0.295,0.0,0.295,False,True,False,False,dodged but min_dist 0.30 <= hit_radius,False,2.167,1.05,0.248,-0.133,-0.158,-0.211,0.538,0.109,-0.015,7.958,0.75,0.8,0.43,0.581,10.162,3,0.154,1
baseline,S08,10,True,True,18.0,0.29,0.0,0.29,False,True,False,False,dodged but min_dist 0.29 <= hit_radius,False,2.167,1.05,0.244,-0.097,-0.171,-0.213,0.487,0.126,-0.025,8.0,0.75,0.797,0.36,0.49,10.009,4,0.207,1
baseline,S08,11,True,True,22.0,0.271,0.0,0.271,False,True,False,False,dodged but min_dist 0.27 <= hit_radius,False,2.168,1.05,0.274,-0.052,-0.162,-0.211,0.441,0.122,-0.024,7.957,0.75,0.798,0.14,0.316,9.848,3,0.17,3
