episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_S08_r0_1786184591,S08,0,122.775,0.3275,0.2884,0.0391,DODGE_SAVED,0.0590,14,301
2,ball_S08_r1_1786184605,S08,1,136.800,0.3292,0.2004,0.1288,DODGE_SAVED,0.0151,12,290
3,ball_S08_r2_1786184621,S08,2,152.273,0.3350,0.2045,0.1306,DODGE_SAVED,0.0055,12,292
4,ball_S08_r3_1786184637,S08,3,168.135,0.3897,0.3590,0.0308,WOULD_HAVE_MISSED,0.0118,12,270
5,ball_S08_r4_1786184651,S08,4,182.368,0.2408,0.2221,0.0186,DODGE_FAILED,0.0089,12,272
6,ball_S08_r5_1786184666,S08,5,196.433,0.5450,0.2834,0.2616,DODGE_SAVED,0.0105,12,295
7,ball_S08_r6_1786184682,S08,6,211.956,0.2882,0.1533,0.1349,DODGE_FAILED,0.0069,12,302
8,ball_S08_r7_1786184698,S08,7,227.508,0.2650,0.1277,0.1373,DODGE_FAILED,0.0079,12,294
9,ball_S08_r8_1786184714,S08,8,242.926,0.2528,0.1280,0.1248,DODGE_FAILED,0.0602,14,305
10,ball_S08_r9_1786184730,S08,9,258.370,0.2953,0.1749,0.1204,DODGE_FAILED,0.0582,13,306
11,ball_S08_r10_1786184746,S08,10,273.955,0.2900,0.1599,0.1300,DODGE_FAILED,0.0064,12,299
12,ball_S08_r11_1786184762,S08,11,289.905,0.2712,0.2434,0.0278,DODGE_FAILED,0.0114,12,278
