combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,H20,0,True,True,19.0,0.283,0.0,0.283,False,True,False,False,dodged but min_dist 0.28 <= hit_radius,False,0.0,1.7,0.326,0.106,-0.175,0.196,-0.163,0.068,0.231,20.0,1.4,1.4,0.84,0.688,20.831,11,0.165,1
baseline,H20,1,True,True,18.0,0.202,0.0,0.202,False,True,False,False,dodged but min_dist 0.20 <= hit_radius,False,0.0,1.7,0.26,0.065,-0.131,0.139,-0.084,0.101,0.174,20.0,1.4,1.404,0.8,0.296,20.795,13,0.204,1
baseline,H20,2,True,True,18.0,0.378,0.0,0.378,False,True,True,False,clean dodge,False,0.0,1.7,0.254,-0.093,-0.31,-0.194,0.074,0.358,-0.153,19.432,1.4,1.407,1.05,0.365,20.816,6,0.084,1
baseline,H20,3,True,True,23.0,0.399,0.0,0.399,False,True,True,False,clean dodge,False,0.0,1.7,0.233,-0.138,0.307,-0.215,0.292,0.095,-0.256,20.108,1.4,1.393,0.85,0.346,20.763,13,0.178,1
baseline,H20,4,True,True,17.0,0.49,0.0,0.49,False,True,True,False,clean dodge,False,0.0,1.7,0.324,-0.074,-0.311,-0.372,0.062,0.372,-0.317,20.111,1.4,1.406,0.96,0.321,20.713,5,0.083,2
baseline,H20,5,True,True,17.0,0.38,0.0,0.38,False,True,True,False,clean dodge,False,0.0,1.7,0.274,0.185,-0.264,0.201,-0.183,-0.208,0.242,20.0,1.4,1.405,0.94,0.463,20.745,8,0.109,1
baseline,H20,6,True,True,20.0,0.29,0.0,0.29,False,True,False,False,dodged but min_dist 0.29 <= hit_radius,False,0.0,1.7,0.242,-0.108,-0.244,-0.115,-0.183,0.175,-0.121,20.11,1.4,1.397,0.91,0.156,20.876,8,0.119,1
baseline,H20,7,True,True,19.0,0.284,0.0,0.284,False,True,False,False,dodged but min_dist 0.28 <= hit_radius,False,0.0,1.7,0.257,0.186,-0.184,0.111,-0.036,0.188,0.201,20.106,1.4,1.409,0.89,0.593,20.794,12,0.18,1
baseline,H20,8,True,True,20.0,0.249,0.0,0.249,False,True,False,False,dodged but min_dist 0.25 <= hit_radius,False,0.0,1.7,0.281,-0.196,-0.04,-0.148,0.079,0.094,-0.169,20.0,1.4,1.394,0.74,0.685,20.897,19,0.31,2
baseline,H20,9,True,True,19.0,0.418,0.0,0.418,False,True,True,False,clean dodge,False,0.0,1.7,0.256,0.007,0.339,0.244,0.362,0.015,0.21,19.468,1.4,1.395,0.89,0.616,20.861,10,0.146,1
