episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_H20_r0_1786309059,H20,0,135.110,0.2833,0.0970,0.1863,DODGE_FAILED,0.0015,12,283
2,ball_H20_r1_1786309075,H20,1,150.176,0.2017,0.1035,0.0982,DODGE_FAILED,0.0015,12,282
3,ball_H20_r2_1786309090,H20,2,165.210,0.3776,0.2058,0.1718,DODGE_SAVED,0.0019,12,291
4,ball_H20_r3_1786309106,H20,3,180.577,0.3993,0.1507,0.2486,DODGE_SAVED,0.0012,13,280
5,ball_H20_r4_1786309121,H20,4,194.853,0.4902,0.1528,0.3374,DODGE_SAVED,0.0017,12,291
6,ball_H20_r5_1786309137,H20,5,210.082,0.3796,0.1524,0.2272,DODGE_SAVED,0.0018,13,293
7,ball_H20_r6_1786309153,H20,6,225.020,0.2901,0.1880,0.1021,DODGE_FAILED,0.0020,12,288
8,ball_H20_r7_1786309169,H20,7,240.339,0.2843,0.1598,0.1244,DODGE_FAILED,0.0016,12,291
9,ball_H20_r8_1786309185,H20,8,255.522,0.2490,0.1753,0.0737,DODGE_FAILED,0.0010,13,279
10,ball_H20_r9_1786309201,H20,9,270.119,0.4181,0.1102,0.3079,DODGE_SAVED,0.0016,13,284
