dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,0.0000,0.0750,0.840,0.688
1,0.10,0.0001,0.1500,0.840,0.688
1,0.15,0.0005,0.2250,0.840,0.688
1,0.20,0.0015,0.3000,0.840,0.688
1,0.30,0.0075,0.4500,0.840,0.688
1,0.40,0.0211,0.6000,0.840,0.688
1,0.60,0.0891,0.9000,0.840,0.688
1,1.00,0.5136,1.5000,0.840,0.688
2,0.05,0.0002,0.0750,0.800,0.296
2,0.10,0.0003,0.1500,0.800,0.296
2,0.15,0.0006,0.2250,0.800,0.296
2,0.20,0.0015,0.3000,0.800,0.296
2,0.30,0.0070,0.4500,0.800,0.296
2,0.40,0.0206,0.6000,0.800,0.296
2,0.60,0.0903,0.9000,0.800,0.296
2,1.00,0.5185,1.5000,0.800,0.296
3,0.05,-0.0011,0.0750,1.050,0.365
3,0.10,-0.0020,0.1500,1.050,0.365
3,0.15,-0.0031,0.2250,1.050,0.365
3,0.20,-0.0042,0.3000,1.050,0.365
3,0.30,-0.0043,0.4500,1.050,0.365
3,0.40,0.0007,0.6000,1.050,0.365
3,0.60,0.0460,0.9000,1.050,0.365
3,1.00,0.4298,1.5000,1.050,0.365
4,0.05,-0.0001,0.0750,0.850,0.346
4,0.10,-0.0002,0.1500,0.850,0.346
4,0.15,-0.0002,0.2250,0.850,0.346
4,0.20,0.0001,0.3000,0.850,0.346
4,0.30,0.0039,0.4500,0.850,0.346
4,0.40,0.0158,0.6000,0.850,0.346
4,0.60,0.0923,0.9000,0.850,0.346
4,1.00,0.5357,1.5000,0.850,0.346
5,0.05,-0.0010,0.0750,0.960,0.321
5,0.10,-0.0020,0.1500,0.960,0.321
5,0.15,-0.0030,0.2250,0.960,0.321
5,0.20,-0.0038,0.3000,0.960,0.321
5,0.30,-0.0023,0.4500,0.960,0.321
5,0.40,0.0077,0.6000,0.960,0.321
5,0.60,0.0669,0.9000,0.960,0.321
5,1.00,0.5253,1.5000,0.960,0.321
6,0.05,-0.0003,0.0750,0.940,0.463
6,0.10,-0.0005,0.1500,0.940,0.463
6,0.15,-0.0006,0.2250,0.940,0.463
6,0.20,-0.0004,0.3000,0.940,0.463
6,0.30,0.0029,0.4500,0.940,0.463
6,0.40,0.0147,0.6000,0.940,0.463
6,0.60,0.0726,0.9000,0.940,0.463
6,1.00,0.4635,1.5000,0.940,0.463
7,0.05,-0.0009,0.0750,0.910,0.156
7,0.10,-0.0018,0.1500,0.910,0.156
7,0.15,-0.0028,0.2250,0.910,0.156
7,0.20,-0.0038,0.3000,0.910,0.156
7,0.30,-0.0041,0.4500,0.910,0.156
7,0.40,0.0022,0.6000,0.910,0.156
7,0.60,0.0507,0.9000,0.910,0.156
7,1.00,0.4183,1.5000,0.910,0.156
8,0.05,0.0001,0.0750,0.890,0.593
8,0.10,0.0002,0.1500,0.890,0.593
8,0.15,0.0005,0.2250,0.890,0.593
8,0.20,0.0015,0.3000,0.890,0.593
8,0.30,0.0070,0.4500,0.890,0.593
8,0.40,0.0208,0.6000,0.890,0.593
8,0.60,0.0887,0.9000,0.890,0.593
8,1.00,0.5308,1.5000,0.890,0.593
9,0.05,-0.0011,0.0750,0.740,0.685
9,0.10,-0.0022,0.1500,0.740,0.685
9,0.15,-0.0034,0.2250,0.740,0.685
9,0.20,-0.0038,0.3000,0.740,0.685
9,0.30,-0.0013,0.4500,0.740,0.685
9,0.40,0.0105,0.6000,0.740,0.685
9,0.60,0.0813,0.9000,0.740,0.685
9,1.00,0.5273,1.5000,0.740,0.685
10,0.05,0.0019,0.0750,0.890,0.616
10,0.10,0.0036,0.1500,0.890,0.616
10,0.15,0.0059,0.2250,0.890,0.616
10,0.20,0.0088,0.3000,0.890,0.616
10,0.30,0.0186,0.4500,0.890,0.616
10,0.40,0.0366,0.6000,0.890,0.616
10,0.60,0.1124,0.9000,0.890,0.616
10,1.00,0.5378,1.5000,0.890,0.616
