combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,B01,0,True,True,74.0,0.997,0.0,0.997,False,True,True,False,clean dodge,False,2.178,1.3,0.241,-0.695,-0.261,-0.666,1.183,0.149,-0.02,4.024,1.0,1.106,0.2,0.72,3.324,6,0.396,1
baseline,B01,1,True,False,,0.992,0.0,0.992,True,True,False,False,"no dodge fired | OFF-TARGET: spec miss 0.00 m, measured 0.99 m — aiming, not trigger",False,2.165,1.3,0.209,-0.637,-0.274,-0.709,1.154,0.167,-0.02,4.138,1.0,1.121,,,4.183,,,
baseline,B01,2,True,True,104.0,0.905,0.0,0.905,False,True,True,False,clean dodge,False,2.041,1.3,0.219,-0.581,-0.287,-0.632,1.051,0.191,-0.015,4.025,1.0,1.106,0.31,0.368,4.26,3,0.132,1
baseline,B02,0,True,True,249.0,0.557,0.0,0.557,False,True,True,False,clean dodge,False,2.168,1.05,0.236,-0.231,-0.204,-0.464,1.115,0.117,-0.001,8.0,0.75,0.857,0.15,0.641,3.955,5,0.264,1
baseline,B02,1,True,True,75.0,0.381,0.0,0.381,False,True,True,False,clean dodge,False,2.169,1.05,0.19,-0.053,-0.157,-0.343,0.665,0.097,-0.035,8.0,0.75,0.82,0.09,0.353,3.656,3,0.132,2
baseline,B02,2,True,True,100.0,0.578,0.0,0.578,False,True,True,False,clean dodge,False,2.163,1.05,0.219,-0.262,-0.204,-0.474,1.162,0.113,-0.001,7.949,0.75,0.853,0.26,0.268,4.219,3,0.198,1
baseline,B03,0,True,True,255.0,0.175,0.0,0.175,False,True,False,False,dodged but min_dist 0.18 <= hit_radius,False,2.183,0.729,0.198,0.116,-0.096,-0.09,0.331,0.066,-0.017,14.269,0.429,0.459,0.09,0.282,2.17,3,0.132,2
baseline,B03,1,True,False,,0.13,0.0,0.13,False,True,False,False,no dodge fired,False,2.163,0.729,0.226,0.044,-0.091,-0.081,0.328,0.059,-0.017,14.088,0.429,0.449,,,,,,
baseline,B03,2,True,True,111.0,0.154,0.0,0.154,False,True,False,False,dodged but min_dist 0.15 <= hit_radius,False,2.044,0.729,0.198,0.039,-0.114,-0.097,0.453,0.067,-0.016,14.0,0.429,0.459,0.08,0.323,6.067,3,0.132,3
baseline,B04,0,True,True,143.0,0.815,0.0,0.815,False,True,True,False,clean dodge,False,1.162,1.05,0.195,-0.203,0.512,-0.601,1.393,0.098,-0.001,8.343,0.75,0.881,0.26,0.353,1.076,3,0.132,1
baseline,B04,1,True,True,56.0,0.351,0.0,0.351,False,True,True,False,clean dodge,False,2.172,1.05,0.227,-0.011,0.149,-0.318,0.588,0.106,-0.028,8.216,0.75,0.818,0.43,0.563,4.87,3,0.132,1
baseline,B04,2,True,True,150.0,0.382,0.0,0.382,False,True,True,False,clean dodge,False,2.162,1.05,0.207,-0.12,0.202,-0.301,0.695,0.097,-0.02,8.4,0.75,0.812,0.2,0.568,1.359,3,0.132,1
baseline,B05,0,True,True,175.0,0.509,0.0,0.509,False,True,True,False,clean dodge,False,2.169,1.05,0.203,-0.097,-0.459,-0.197,0.605,0.135,-0.038,7.796,0.75,0.797,0.07,0.384,0.948,3,0.132,2
baseline,B05,1,True,True,67.0,0.553,0.0,0.553,False,True,True,False,clean dodge,False,2.172,1.05,0.206,-0.012,-0.492,-0.252,0.666,0.132,-0.023,8.595,0.75,0.804,0.09,0.402,4.144,3,0.132,2
baseline,B05,2,True,True,132.0,0.503,0.0,0.503,False,True,True,False,clean dodge,False,2.167,1.05,0.221,0.012,-0.437,-0.249,0.602,0.11,-0.028,8.108,0.75,0.804,0.2,0.495,1.486,3,0.132,1
baseline,B06,0,True,True,121.0,0.449,0.5,0.051,False,True,True,False,clean dodge,False,2.17,1.05,0.209,-0.028,0.32,-0.314,0.593,0.127,-0.033,8.0,0.75,0.818,0.13,0.469,4.289,3,0.132,2
baseline,B06,1,True,True,94.0,0.476,0.5,0.024,False,True,True,False,clean dodge,False,2.166,1.05,0.208,-0.209,0.318,-0.287,0.711,0.117,-0.041,8.052,0.75,0.811,0.17,0.61,,3,0.132,2
baseline,B06,2,True,True,187.0,0.435,0.5,0.065,False,True,True,False,clean dodge,False,2.173,1.05,0.2,-0.128,0.309,-0.278,0.63,0.134,-0.032,7.95,0.75,0.811,0.17,0.556,6.695,3,0.132,2
baseline,B07,0,False,False,,1.362,1.5,0.138,False,True,True,False,correctly ignored,False,2.17,1.05,0.181,-0.117,1.312,-0.348,0.763,0.117,-0.023,8.381,0.75,0.826,,,4.495,,,
baseline,B07,1,False,False,,1.347,1.5,0.153,False,True,True,False,correctly ignored,False,2.116,1.05,0.203,-0.106,1.321,-0.244,0.536,0.13,-0.036,8.225,0.75,0.798,,,4.586,,,
