combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,S08,0,True,True,19.0,0.206,0.0,0.206,False,True,False,False,dodged but min_dist 0.21 <= hit_radius,False,1.571,1.05,0.277,0.048,-0.098,0.175,-0.562,0.159,-0.043,7.957,0.75,0.684,0.17,0.522,6.797,3,0.155,2
baseline,S08,1,True,True,19.0,0.296,0.0,0.296,False,True,False,False,dodged but min_dist 0.30 <= hit_radius,False,2.167,1.05,0.273,-0.078,-0.165,-0.233,0.508,0.117,-0.024,8.043,0.75,0.799,0.12,0.357,6.965,3,0.17,2
baseline,S08,2,True,True,20.0,0.291,0.0,0.291,False,True,False,False,dodged but min_dist 0.29 <= hit_radius,False,2.166,1.05,0.259,-0.038,-0.174,-0.231,0.468,0.131,-0.022,8.0,0.75,0.801,0.24,0.424,6.902,3,0.17,1
baseline,S14,0,True,True,19.0,0.198,0.0,0.198,False,True,False,False,dodged but min_dist 0.20 <= hit_radius,False,2.169,1.014,0.291,-0.047,-0.16,-0.107,0.337,0.129,-0.033,14.0,0.714,0.733,0.05,0.507,6.827,3,0.14,2
baseline,S14,1,True,True,16.0,0.366,0.0,0.366,False,True,True,False,clean dodge,False,2.164,1.014,0.261,-0.204,-0.192,-0.236,1.065,0.108,-0.001,14.0,0.714,0.774,0.08,0.165,7.023,3,0.157,2
baseline,S14,2,True,True,20.0,0.191,0.0,0.191,False,True,False,False,dodged but min_dist 0.19 <= hit_radius,False,2.174,1.014,0.278,-0.024,-0.157,-0.107,0.313,0.128,-0.032,14.151,0.714,0.733,0.06,0.253,6.837,3,0.154,2
baseline,S20,0,True,False,,0.219,0.0,0.219,False,True,False,False,no dodge fired,False,2.17,1.05,0.277,0.068,-0.163,-0.13,0.485,0.119,-0.023,20.321,0.75,0.776,,,6.913,,,
baseline,S20,1,True,True,20.0,0.207,0.0,0.207,False,True,False,False,dodged but min_dist 0.21 <= hit_radius,False,2.047,1.05,0.249,0.034,-0.144,-0.145,0.57,0.146,-0.035,20.106,0.75,0.784,0.12,0.103,6.771,3,0.138,1
baseline,S20,2,True,,,,,,,,False,True,spawn z=0.03 < 0.3,,,,,,,,,,,,,,,,,,,
baseline,S20N,0,False,,,,,,,,False,True,spawn z=0.03 < 0.3,,,,,,,,,,,,,,,,,,,
baseline,S20N,1,False,,,,,,,,False,True,spawn z=0.03 < 0.3,,,,,,,,,,,,,,,,,,,
