combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,B08,0,True,False,,0.342,0.0,0.342,False,True,False,False,no dodge fired,False,2.116,1.4,0.267,0.233,-0.081,0.236,-1.34,0.202,-0.045,20.0,1.1,1.042,,,3.08,,,
baseline,B08,1,True,False,,0.491,0.0,0.491,False,True,False,False,no dodge fired,False,2.046,1.4,0.305,0.039,-0.313,-0.377,1.206,0.2,-0.024,19.368,1.1,1.169,,,3.372,,,
baseline,B08,2,True,False,,0.503,0.0,0.503,True,True,False,False,"no dodge fired | OFF-TARGET: spec miss 0.00 m, measured 0.50 m — aiming, not trigger",False,2.178,1.4,0.268,-0.032,-0.322,-0.385,1.316,0.202,-0.02,20.213,1.1,1.16,,,3.081,,,
baseline,B09,0,True,False,,0.404,0.5,0.096,False,True,False,False,no dodge fired,False,2.177,1.4,0.267,-0.104,0.174,-0.35,1.289,0.211,-0.026,19.785,1.1,1.162,,,3.18,,,
baseline,B09,1,True,False,,0.446,0.5,0.054,False,True,False,False,no dodge fired,False,2.178,1.4,0.319,0.075,0.173,-0.405,1.269,0.213,-0.022,20.0,1.1,1.166,,,3.389,,,
baseline,B09,2,True,False,,0.426,0.5,0.074,False,True,False,False,no dodge fired,False,2.178,1.4,0.273,-0.088,0.178,-0.377,1.312,0.205,-0.03,20.0,1.1,1.158,,,3.064,,,
baseline,B10,0,False,False,,1.243,1.5,0.257,False,True,True,False,correctly ignored,False,2.177,1.4,0.281,-0.066,1.18,-0.385,1.369,0.199,-0.014,20.0,1.1,1.165,,,3.33,,,
baseline,B10,1,False,False,,1.263,1.5,0.237,False,True,True,False,correctly ignored,False,2.177,1.4,0.257,-0.292,1.176,-0.356,1.455,0.194,-0.027,19.892,1.1,1.156,,,3.168,,,
baseline,B11,0,True,True,19.0,0.124,0.0,0.124,False,True,False,False,dodged but min_dist 0.12 <= hit_radius,False,2.021,0.729,0.267,0.023,-0.092,-0.079,0.368,0.059,-0.016,13.926,0.429,0.452,0.01,0.253,3.356,3,0.164,1
baseline,B11,1,True,False,,0.14,0.0,0.14,False,True,False,False,no dodge fired,False,2.166,0.729,0.238,0.083,-0.083,-0.076,0.193,0.075,-0.032,14.0,0.429,0.445,,,3.119,,,
baseline,B11,2,True,True,19.0,0.108,0.0,0.108,False,True,False,False,dodged but min_dist 0.11 <= hit_radius,False,2.033,0.729,0.274,0.012,-0.077,-0.074,0.266,0.051,-0.03,14.074,0.429,0.448,0.01,0.131,3.193,3,0.154,1
baseline,B12,0,True,True,19.0,0.515,0.0,0.515,False,True,True,False,clean dodge,False,2.157,1.05,0.259,-0.199,-0.155,-0.45,1.053,0.107,-0.001,8.0,0.75,0.855,0.12,0.299,3.347,3,0.17,1
baseline,B12,1,True,True,16.0,0.251,0.0,0.251,False,True,False,False,dodged but min_dist 0.25 <= hit_radius,False,1.796,1.05,0.313,-0.01,-0.172,-0.182,0.312,0.145,-0.04,8.087,0.75,0.786,0.08,0.277,3.243,3,0.155,1
baseline,B12,2,True,False,,0.545,0.0,0.545,True,True,False,False,"no dodge fired | OFF-TARGET: spec miss 0.00 m, measured 0.55 m — aiming, not trigger",False,2.124,1.05,0.271,-0.254,-0.182,-0.447,1.104,0.1,-0.002,8.0,0.75,0.854,,,3.213,,,
