episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_B08_r0_1786215874,B08,0,,0.3417,,,NO_DODGE,,0,309
2,ball_B08_r1_1786215887,B08,1,,0.4914,,,NO_DODGE,,0,308
3,ball_B08_r2_1786215905,B08,2,,0.5025,,,NO_DODGE,,0,319
4,ball_B09_r0_1786215922,B09,0,,0.4043,,,NO_DODGE,,0,311
5,ball_B09_r1_1786215940,B09,1,,0.4463,,,NO_DODGE,,0,312
6,ball_B09_r2_1786215957,B09,2,,0.4261,,,NO_DODGE,,0,312
7,ball_B10_r0_1786215974,B10,0,,1.2433,,,NO_DODGE,,0,310
8,ball_B10_r1_1786215992,B10,1,,1.2630,,,NO_DODGE,,0,312
9,ball_B11_r0_1786216005,B11,0,249.279,0.1239,0.1239,-0.0000,DODGE_FAILED,0.0135,13,286
10,ball_B11_r1_1786216020,B11,1,,0.1402,,,NO_DODGE,,0,310
11,ball_B11_r2_1786216033,B11,2,276.045,0.1077,0.1094,-0.0018,DODGE_FAILED,0.0104,12,283
12,ball_B12_r0_1786216048,B12,0,290.870,0.5154,0.4936,0.0218,WOULD_HAVE_MISSED,0.0112,12,268
13,ball_B12_r1_1786216060,B12,1,303.091,0.2508,0.2432,0.0076,DODGE_FAILED,0.0092,12,271
14,ball_B12_r2_1786216074,B12,2,,0.5451,,,NO_DODGE,,0,314
